,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
12,81788,-4.692942657152086,26.326983379638907,-77.58544083765001,1.0,1.0,-1.0,POINT (-77.58544083765001 26.3269833796389),-31.83907395058077,241922.11609413123,2914479.5363376085,0
15,81791,-4.8633339652977785,26.326989788423038,-77.58544152800883,1.0,1.0,-1.0,POINT (-77.58544152800883 26.32698978842304),-31.839065517970084,241922.06137686982,2914480.247924323,0
32,81808,-4.80181787002966,26.32702832893681,-77.58544566568743,1.0,1.0,-1.0,POINT (-77.58544566568743 26.32702832893681),-31.839014814003352,241921.73371520962,2914484.527166473,0
48,81829,-4.852868157839097,26.327060434387604,-77.5854491135017,1.0,1.0,-1.0,POINT (-77.5854491135017 26.3270604343876),-31.838972585484047,241921.46066337253,2914488.09191077,0
52,81836,-5.763623620372341,26.327066782154105,-77.58544980648438,1.0,1.0,-1.0,POINT (-77.58544980648438 26.32706678215411),-31.83896423724218,241921.4055488059,2914488.7967409217,0
55,81840,-5.0841391483721585,26.32707325946456,-77.58545049339071,1.0,1.0,-1.0,POINT (-77.5854504933907 26.32707325946456),-31.838955718978013,241921.3513285314,2914489.515914672,0
67,81856,-4.912056817132143,26.32709253724776,-77.58545256098562,1.0,1.0,-1.0,POINT (-77.58545256098562 26.32709253724776),-31.83893036897689,241921.1876390456,2914491.656367353,0
71,81860,-5.009467891083483,26.32710537104796,-77.58545394009589,1.0,1.0,-1.0,POINT (-77.58545394009589 26.32710537104796),-31.83891349443911,241921.0784014377,2914493.081336399,0
76,81865,-4.919434422794809,26.32711821968033,-77.58545531844072,1.0,1.0,-1.0,POINT (-77.58545531844072 26.32711821968033),-31.838896601776465,241920.96927322802,2914494.5079475855,0
84,81874,-4.784835419401432,26.32713748960045,-77.58545738564695,1.0,1.0,-1.0,POINT (-77.58545738564696 26.32713748960045),-31.83887126934815,241920.80560533307,2914496.6475281506,0
90,81880,-5.001160379290738,26.327143891551703,-77.58545807570985,1.0,1.0,-1.0,POINT (-77.58545807570984 26.3271438915517),-31.83886285396511,241920.75090271817,2914497.3583571026,0
93,81884,-4.9249325951152745,26.32715031764239,-77.58545876469272,1.0,1.0,-1.0,POINT (-77.58545876469272 26.32715031764239),-31.83885440719541,241920.6963615389,2914498.07185897,0
95,81887,-5.0005126065574315,26.327156730818754,-77.5854594542011,1.0,1.0,-1.0,POINT (-77.5854594542011 26.32715673081875),-31.83884597774477,241920.64173923247,2914498.7839307557,0
97,81889,-4.887631476440164,26.32716316003682,-77.58546014306947,1.0,1.0,-1.0,POINT (-77.58546014306947 26.32716316003682),-31.838837527553096,241920.58721644938,2914499.497778966,0
112,81905,-4.942536451415607,26.327195249339976,-77.58546358920425,1.0,1.0,-1.0,POINT (-77.58546358920425 26.32719524933998),-31.83879535639335,241920.31429762868,2914503.0607306045,0
118,81912,-4.979750797753801,26.327208082363605,-77.5854649676262,1.0,1.0,-1.0,POINT (-77.58546496762621 26.3272080823636),-31.838778493881364,241920.20512738175,2914504.4856122592,0
119,81913,-5.154358312106719,26.327208068249806,-77.58546496830378,1.0,1.0,-1.0,POINT (-77.58546496830378 26.32720806824981),-31.83877851242596,241920.20502839482,2914504.484049557,0
120,81914,-4.929859355597884,26.327208086469554,-77.58546496744023,1.0,1.0,-1.0,POINT (-77.58546496744023 26.32720808646955),-31.838778488486238,241920.20515506415,2914504.486066899,0
127,81922,-4.988260782739952,26.327220917513745,-77.5854663459608,1.0,1.0,-1.0,POINT (-77.5854663459608 26.32722091751375),-31.83876162995057,241920.09597061898,2914505.910729401,0
136,81934,-4.877144437487092,26.32724659412202,-77.58546910185937,1.0,1.0,-1.0,POINT (-77.58546910185937 26.32724659412202),-31.838727897928038,241919.87774817794,2914508.7616611947,0
137,81935,-5.0068265366706965,26.327246583705662,-77.58546910236944,1.0,1.0,-1.0,POINT (-77.58546910236944 26.32724658370566),-31.838727911610928,241919.87767412586,2914508.7605078984,0
138,81936,-5.141937590672809,26.327252988962908,-77.58546979193677,1.0,1.0,-1.0,POINT (-77.58546979193677 26.32725298896291),-31.83871949771674,241919.82302851975,2914509.471702244,0
146,81945,-4.969321043640473,26.32727866537736,-77.58547254736881,1.0,1.0,-1.0,POINT (-77.58547254736881 26.32727866537736),-31.838685772824192,241919.60485245494,2914512.3226116532,0
155,81956,-4.984346200501023,26.327297908779325,-77.58547461446693,1.0,1.0,-1.0,POINT (-77.58547461446693 26.32729790877933),-31.83866050103188,241919.44113731533,2914514.459253423,0
160,81961,-5.112210716491584,26.32731072647577,-77.58547599291255,1.0,1.0,-1.0,POINT (-77.58547599291255 26.32731072647577),-31.838643669644622,241919.33193103463,2914515.882436647,0
169,81972,-5.654807298204465,26.327329921709104,-77.5854780618025,2.0,1.0,-1.0,POINT (-77.58547806180252 26.3273299217091),-31.838618466245407,241919.16793022206,2914518.013744089,0
172,81975,-5.488464074826492,26.327336348177987,-77.58547875013218,2.0,1.0,-1.0,POINT (-77.58547875013218 26.32733634817799),-31.83861002895901,241919.11345542473,2914518.7272866005,0
180,81983,-4.676092857773168,26.327355648885327,-77.58548081362977,3.0,1.0,-1.0,POINT (-77.58548081362976 26.32735564888533),-31.838584691209235,241918.9502273072,2914520.8702716515,0
185,81990,-5.876614196447531,26.327374784559716,-77.58548288494627,2.0,1.0,-1.0,POINT (-77.58548288494626 26.32737478455972),-31.838559573182465,241918.78585222567,2914522.994983794,0
204,82011,-4.9541420303613135,26.32740690899723,-77.58548632589226,3.0,1.0,-1.0,POINT (-77.58548632589226 26.32740690899723),-31.838517412612877,241918.51353132006,2914526.5618187827,0
209,82017,-5.010621630357319,26.327419721785322,-77.58548770387006,3.0,1.0,-1.0,POINT (-77.58548770387006 26.32741972178532),-31.83850059933093,241918.40436123052,2914527.9844571846,0
242,82051,-4.860430470283683,26.327496607533465,-77.58549596961826,3.0,1.0,-1.0,POINT (-77.58549596961826 26.32749660753347),-31.83839973659133,241917.7495731791,2914536.521283002,1
252,82065,-4.89721473692764,26.327528619186364,-77.58549941404596,3.0,1.0,-1.0,POINT (-77.58549941404596 26.32752861918636),-31.838357756585086,241917.47665530958,2914540.0756265596,1
266,82085,-4.670591219612785,26.327567039608432,-77.58550354611265,3.0,1.0,-1.0,POINT (-77.58550354611266 26.32756703960843),-31.838307383430678,241917.14929299013,2914544.3415498887,1
268,82087,-4.927279386585378,26.327573417759613,-77.58550423594092,3.0,1.0,-1.0,POINT (-77.58550423594092 26.32757341775962),-31.83829902220623,241917.0945617093,2914545.0497409943,1
285,82107,-4.541360856709547,26.327605439559754,-77.58550767890728,2.0,1.0,-1.0,POINT (-77.58550767890728 26.32760543955975),-31.83825704942956,241916.8218129359,2914548.605206203,1
287,82110,-4.850625403033892,26.327611810834465,-77.58550836895185,3.0,1.0,-1.0,POINT (-77.58550836895185 26.32761181083447),-31.838248699261843,241916.76704485674,2914549.3126357156,1
301,82126,-4.104117032025407,26.327643848400022,-77.585511810595,2.0,1.0,-1.0,POINT (-77.58551181059499 26.32764384840002),-31.838206716091925,241916.49446353287,2914552.8698454043,1
309,82139,-4.733593076213232,26.32766937083013,-77.58551456871338,3.0,1.0,-1.0,POINT (-77.58551456871338 26.32766937083013),-31.83817327672068,241916.27568009796,2914555.703696335,1
310,82140,-4.745374508713123,26.32766936986059,-77.58551456875728,3.0,1.0,-1.0,POINT (-77.58551456875728 26.32766936986059),-31.83817327799079,241916.27567356313,2914555.7035889807,1
323,82157,-4.9010453164135095,26.32770131363927,-77.58551801408264,3.0,1.0,-1.0,POINT (-77.58551801408264 26.32770131363927),-31.838131433060425,241916.00251686835,2914559.2504128558,1
351,82190,-4.986071968728494,26.32776518627066,-77.58552490457413,3.0,1.0,-1.0,POINT (-77.58552490457413 26.32776518627066),-31.83804778830017,241915.45618706007,2914566.342406327,2
360,82202,-5.450755519039,26.32779068454523,-77.58552766238917,2.0,1.0,-1.0,POINT (-77.58552766238917 26.32779068454523),-31.838014406405364,241915.23738112408,2914569.1735798935,2
364,82206,-5.112442328087777,26.327797095937783,-77.5855283502398,2.0,1.0,-1.0,POINT (-77.5855283502398 26.32779709593778),-31.838006013576432,241915.1829214822,2914569.8854508204,2
