,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface
23981,-0.2301985052980506,-18.69076498906939,-178.46793865006458,4.0,3.0,-1.0,POINT (-178.4679386500646 -18.69076498906939),51.91327803378226
23986,-0.22837347214725895,-18.690771344861865,-178.4679393134585,4.0,3.0,-1.0,POINT (-178.4679393134585 -18.69077134486187),51.9133914867125
23987,-0.20882611759106318,-18.690777699666164,-178.4679399785969,4.0,4.0,-1.0,POINT (-178.4679399785969 -18.69077769966616),51.913504888274474
23988,-0.09903587166747786,-18.690777692116296,-178.46793998946382,4.0,4.0,-1.0,POINT (-178.4679399894638 -18.6907776921163),51.91350475358195
23989,-0.11716404937472978,-18.690784049743,-178.46794065086303,4.0,4.0,-1.0,POINT (-178.467940650863 -18.690784049743),51.91361817182042
23991,-0.10188716515855092,-18.69078404869249,-178.4679406523751,4.0,4.0,-1.0,POINT (-178.4679406523751 -18.69078404869249),51.91361815307755
23994,-0.12901711818568792,-18.690790406697296,-178.46794131282329,4.0,4.0,-1.0,POINT (-178.4679413128233 -18.6907904066973),51.913731544365874
23995,0.0008294412382935043,-18.690790397255807,-178.46794132562445,4.0,4.0,-1.0,POINT (-178.4679413256245 -18.69079039725581),51.913731376000214
23996,-0.10603355418089414,-18.69079040511678,-178.46794131509824,4.0,4.0,-1.0,POINT (-178.4679413150982 -18.69079040511678),51.91373151616426
23998,0.07431330570160846,-18.690803106130485,-178.4679426592299,4.0,4.0,-1.0,POINT (-178.4679426592299 -18.69080310613048),51.91395793025731
23999,-0.10649705074024304,-18.690803119076506,-178.4679426413844,4.0,4.0,-1.0,POINT (-178.4679426413844 -18.69080311907651),51.913958160963375
24000,-0.19653179251884742,-18.690803125267834,-178.46794263247287,4.0,4.0,-1.0,POINT (-178.4679426324729 -18.69080312526783),51.913958271295996
24005,-0.17762214350034486,-18.690809481284766,-178.46794329749264,4.0,4.0,-1.0,POINT (-178.4679432974926 -18.69080948128477),51.91407152591273
24006,-0.3495755211857858,-18.690809493109352,-178.46794328047284,4.0,3.0,-1.0,POINT (-178.4679432804728 -18.69080949310935),51.91407173659536
24007,-0.32590401000054003,-18.690809491481655,-178.4679432828157,4.0,3.0,-1.0,POINT (-178.4679432828157 -18.69080949148166),51.91407170757884
24012,0.034044576916149,-18.690822179267705,-178.46794464441052,4.0,4.0,-1.0,POINT (-178.4679446444105 -18.69082217926771),51.914297683833865
24013,-0.3076395862563787,-18.6908222032762,-178.4679446106421,4.0,3.0,-1.0,POINT (-178.4679446106421 -18.6908222032762),51.91429811131093
24014,-0.185296393026185,-18.690822194863237,-178.46794462275142,4.0,4.0,-1.0,POINT (-178.4679446227514 -18.69082219486324),51.91429796151351
24016,-0.15762440455358195,-18.690828550991252,-178.46794528859962,4.0,4.0,-1.0,POINT (-178.4679452885996 -18.69082855099125),51.91441111694439
24019,-0.16017750800357589,-18.69083490943768,-178.46794595144223,4.0,4.0,-1.0,POINT (-178.4679459514422 -18.69083490943768),51.91452427991317
24020,-0.08621343577032266,-18.690834904351522,-178.46794595876307,4.0,4.0,-1.0,POINT (-178.4679459587631 -18.69083490435152),51.91452418942936
24023,-0.21438413489018882,-18.69084762995664,-178.46794727217522,4.0,4.0,-1.0,POINT (-178.4679472721752 -18.69084762995664),51.91475056915078
24024,-0.13434551674073722,-18.690847624452804,-178.4679472800973,4.0,4.0,-1.0,POINT (-178.4679472800973 -18.6908476244528),51.9147504712455
24027,-0.028715383227662476,-18.690853976659064,-178.46794795365344,4.0,4.0,-1.0,POINT (-178.4679479536534 -18.69085397665906),51.91486342207645
24028,0.06622690739967031,-18.690853969617887,-178.4679479629998,4.0,4.0,-1.0,POINT (-178.4679479629998 -18.69085396961789),51.91486329687177
24029,-0.20359880289493898,-18.69085398868502,-178.46794793634362,4.0,4.0,-1.0,POINT (-178.4679479363436 -18.69085398868502),51.91486363587319
24032,-0.11139893080753821,-18.690860341584724,-178.46794860850565,4.0,4.0,-1.0,POINT (-178.4679486085057 -18.69086034158472),51.91497656528372
24033,-0.20768264380015908,-18.690866707690326,-178.46794926199573,4.0,4.0,-1.0,POINT (-178.4679492619957 -18.69086670769033),51.9150896956271
