,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
174,4048,-0.6971716799887991,-18.62523549128242,-178.4918662120671,4.0,3.0,-1.0,POINT (-178.4918662120671 -18.62523549128242),51.87938374843725,-19869623.65746842,-2110862.76514687,0
185,4067,-0.7241516377674566,-18.62527380115169,-178.4918701030339,4.0,3.0,-1.0,POINT (-178.4918701030339 -18.62527380115169),51.87966554251398,-19869624.090608865,-2110867.265474388,0
197,4082,-0.6972874625116019,-18.62529907181291,-178.49187243807117,4.0,3.0,-1.0,POINT (-178.4918724380712 -18.62529907181291),51.879851317786226,-19869624.350544024,-2110870.234063826,0
206,4099,-0.5464043510078168,-18.625318280456156,-178.49187444886445,4.0,3.0,-1.0,POINT (-178.4918744488645 -18.62531828045615),51.879992471749574,-19869624.574384507,-2110872.490537545,0
213,4109,-0.6596454562551242,-18.625337510048336,-178.49187646209396,4.0,4.0,-1.0,POINT (-178.491876462094 -18.62533751004834),51.88013373046488,-19869624.798496194,-2110874.7494724304,0
218,4115,-0.5474943534589379,-18.625343911240822,-178.49187713511643,4.0,4.0,-1.0,POINT (-178.4918771351165 -18.62534391124083),51.8801807420823,-19869624.87341671,-2110875.5014321143,0
229,4132,-0.6441244455626762,-18.625363144624433,-178.4918791539257,4.0,4.0,-1.0,POINT (-178.4918791539257 -18.62536314462443),51.88032196303175,-19869625.09814953,-2110877.7608127263,0
239,4143,-0.5644776641307219,-18.62537595971641,-178.4918805030125,4.0,4.0,-1.0,POINT (-178.4918805030125 -18.62537595971641),51.88041603039528,-19869625.248329185,-2110879.266225069,0
248,4153,-0.5079481136407322,-18.62538877732027,-178.49188185364045,4.0,4.0,-1.0,POINT (-178.4918818536405 -18.62538877732027),51.880510094339115,-19869625.3986804,-2110880.771932598,0
255,4160,-0.7455831275272579,-18.62539520184284,-178.491882527603,4.0,3.0,-1.0,POINT (-178.491882527603 -18.62539520184284),51.88055723344586,-19869625.47370557,-2110881.526633139,0
258,4165,-0.489979777075433,-18.62540159742501,-178.4918832055753,4.0,4.0,-1.0,POINT (-178.4918832055753 -18.62540159742501),51.8806041547541,-19869625.549177103,-2110882.277934026,0
260,4167,-0.7397295391534293,-18.625401613233105,-178.4918832038633,4.0,3.0,-1.0,POINT (-178.4918832038633 -18.62540161323311),51.880604270725605,-19869625.548986524,-2110882.279791031,0
264,4172,-0.5356339873108065,-18.625414424449357,-178.49188455891976,4.0,4.0,-1.0,POINT (-178.4918845589197 -18.62541442444935),51.88069824404739,-19869625.69983072,-2110883.784748426,0
269,4178,-0.4374655285167412,-18.625427244274164,-178.49188591496673,4.0,4.0,-1.0,POINT (-178.4918859149668 -18.62542724427416),51.88079225864931,-19869625.850785177,-2110885.2907171976,0
271,4180,-0.413156217454181,-18.625427242735366,-178.4918859151334,4.0,4.0,-1.0,POINT (-178.4918859151334 -18.62542724273537),51.880792247367935,-19869625.85080373,-2110885.290536432,0
285,4194,-0.4328030347296224,-18.62544648611313,-178.49188795117115,4.0,4.0,-1.0,POINT (-178.4918879511712 -18.62544648611313),51.88093332824792,-19869626.077454414,-2110887.5510921837,0
296,4213,-0.4139479857423813,-18.62547214465024,-178.49189067163627,4.0,4.0,-1.0,POINT (-178.4918906716363 -18.62547214465024),51.88112136454221,-19869626.380295206,-2110890.565249154,0
302,4222,-0.5085382840391816,-18.625484982246746,-178.4918920334483,4.0,4.0,-1.0,POINT (-178.4918920334483 -18.62548498224674),51.88121541083092,-19869626.531891428,-2110892.073306113,0
305,4229,-0.4844647119999718,-18.625497813979987,-178.49189339762046,4.0,4.0,-1.0,POINT (-178.4918933976205 -18.62549781397999),51.8813093922472,-19869626.68375038,-2110893.580674414,0
309,4234,-0.6072515752783535,-18.625504239309468,-178.49189407938619,4.0,4.0,-1.0,POINT (-178.4918940793862 -18.62550423930946),51.88135644402792,-19869626.75964419,-2110894.33547023,0
311,4237,-0.4384501298487587,-18.625517063183697,-178.49189544669116,4.0,4.0,-1.0,POINT (-178.4918954466912 -18.6255170631837),51.88145033502224,-19869626.911851887,-2110895.8419154887,0
317,4246,-0.559186035530084,-18.625536325508996,-178.4918974978159,4.0,4.0,-1.0,POINT (-178.4918974978159 -18.62553632550899),51.88159132450164,-19869627.140182048,-2110898.104698238,0
318,4248,-0.5535022945028985,-18.625542743925497,-178.49189818253038,4.0,4.0,-1.0,POINT (-178.4918981825304 -18.6255427439255),51.88163829276164,-19869627.216404114,-2110898.8586821416,0
319,4250,-0.48541035258245097,-18.62554915817996,-178.49189886796032,4.0,4.0,-1.0,POINT (-178.4918988679603 -18.62554915817996),51.88168522508931,-19869627.292705826,-2110899.6121771513,0
325,4259,-0.5129835209247052,-18.625587679515647,-178.4919029847371,4.0,4.0,-1.0,POINT (-178.4919029847371 -18.62558767951565),51.881966965858744,-19869627.75098332,-2110904.1373543497,0
327,4262,-0.4428611448607143,-18.62559409585312,-178.49190367248573,4.0,4.0,-1.0,POINT (-178.4919036724857 -18.62559409585312),51.88201387504887,-19869627.827543147,-2110904.891094254,0
328,4263,-0.5695659085830224,-18.625594103873414,-178.49190367161737,4.0,4.0,-1.0,POINT (-178.4919036716173 -18.62559410387341),51.88201393367854,-19869627.827446483,-2110904.892036413,0
331,4267,-0.41573851974340703,-18.625613357338352,-178.49190573623656,4.0,4.0,-1.0,POINT (-178.4919057362366 -18.62561335733835),51.88215466088878,-19869628.05727884,-2110907.1537793437,0
332,4268,-0.4083437877550356,-18.625613356870122,-178.49190573628724,4.0,4.0,-1.0,POINT (-178.4919057362873 -18.62561335687012),51.88215465746907,-19869628.05728448,-2110907.15372434,0
333,4270,-0.4602350313284573,-18.625613360154947,-178.49190573593162,4.0,4.0,-1.0,POINT (-178.4919057359316 -18.62561336015495),51.882154681472464,-19869628.057244893,-2110907.1541102147,0
334,4272,-0.6110056734876125,-18.62562621131671,-178.49190711190366,4.0,4.0,-1.0,POINT (-178.4919071119037 -18.62562621131671),51.88224858557805,-19869628.2104174,-2110908.6637619617,0
337,4275,-0.6702367785284916,-18.62563263714079,-178.49190780052982,4.0,4.0,-1.0,POINT (-178.4919078005298 -18.62563263714079),51.88229553116615,-19869628.287074912,-2110909.4186164476,0
