,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
111,1046,-2.1989979741060623,-18.63218391498813,-178.52731679009614,4.0,1.0,-1.0,POINT (-178.5273167900961 -18.63218391498813),52.31818443025258,-19873569.99776294,-2111679.0252543245,0
124,1059,-1.9538160260060968,-18.632228373660475,-178.52732112413474,4.0,1.0,-1.0,POINT (-178.5273211241347 -18.63222837366047),52.31846288506495,-19873570.48022591,-2111684.248106121,0
126,1061,-1.8181770064234024,-18.632247429421128,-178.52732297642154,4.0,1.0,-1.0,POINT (-178.5273229764215 -18.63224742942113),52.31858203274169,-19873570.686421536,-2111686.486711711,0
128,1063,-1.996810250853484,-18.632253773446482,-178.5273236134444,4.0,1.0,-1.0,POINT (-178.5273236134444 -18.63225377344648),52.3186216722679,-19873570.757334597,-2111687.2319861683,0
130,1065,-1.0613322757735142,-18.632260157312892,-178.52732415133912,4.0,1.0,-1.0,POINT (-178.5273241513391 -18.63226015731289),52.31866154709133,-19873570.817212764,-2111687.981941044,0
132,1067,-1.3152814111840474,-18.632272849350354,-178.52732541553002,4.0,1.0,-1.0,POINT (-178.52732541553 -18.63227284935035),52.318740783368405,-19873570.95794185,-2111689.472958446,0
137,1073,-1.324556578380702,-18.632291900255197,-178.52732727778667,4.0,1.0,-1.0,POINT (-178.5273272777867 -18.6322919002552),52.31885961660009,-19873571.16524731,-2111691.7109941784,0
156,1092,-1.4972980309915078,-18.63246340656417,-178.52734401914444,4.0,1.0,-1.0,POINT (-178.5273440191444 -18.63246340656417),52.319923937197025,-19873573.02888673,-2111711.8589853565,1
158,1094,-1.43170438977794,-18.63246976346629,-178.52734463259753,4.0,1.0,-1.0,POINT (-178.5273446325975 -18.63246976346629),52.31996319680911,-19873573.09717602,-2111712.60577348,1
159,1095,-1.2707933365578383,-18.63248247897806,-178.52734585698403,4.0,1.0,-1.0,POINT (-178.527345856984 -18.63248247897806),52.32004168594722,-19873573.2334741,-2111714.0995504074,1
160,1096,-1.1555804058844357,-18.632482483092748,-178.52734584674778,4.0,1.0,-1.0,POINT (-178.5273458467478 -18.63248248309275),52.320041711333026,-19873573.232334606,-2111714.1000337885,1
161,1097,-1.2371523448174941,-18.632495190660485,-178.52734709284042,4.0,1.0,-1.0,POINT (-178.5273470928404 -18.63249519066049),52.320120097247134,-19873573.371049006,-2111715.592877589,1
