,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev
25,-49.77784289030751,21.109026603680892,-157.15898306514342,0.0,0.0,-1.0,16.442387118717306,-49.928070068359375
108,-80.21586510442648,21.108653415783863,-157.15901050548032,0.0,0.0,-1.0,16.44935985277698,-90.505126953125
439,-113.82358980090794,21.107037584901608,-157.15909159945653,0.0,0.0,-1.0,16.478714623866836,-135.28607177734375
978,-257.36504346369475,21.10457606549947,-157.15924436204622,0.0,0.0,-1.0,16.52082292555133,-326.632568359375
1319,-166.89328696184748,21.10323332453157,-157.1592686253347,0.0,0.0,-1.0,16.542464280835702,-205.98191833496094
1355,-40.67057364861466,21.103198938400006,-157.15922139535468,0.0,0.0,-1.0,16.54300617748231,-37.684425354003906
1657,-296.54854327669455,21.10151416566567,-157.15939055783198,0.0,0.0,-1.0,16.56880355186877,-378.8292541503906
1743,-185.7230216922435,21.101217009393107,-157.15936126343962,0.0,0.0,-1.0,16.57320047247049,-231.0574951171875
1968,-36.48765344482308,21.100419964116497,-157.1593354396237,0.0,0.0,-1.0,16.58476727620291,-32.06543731689453
1980,-125.39980783265491,21.100254020193987,-157.1593762107606,0.0,0.0,-1.0,16.58713391359197,-150.61260986328125
2080,-23.814227498925902,21.099949918832674,-157.15934810995384,0.0,0.0,-1.0,16.59143373351253,-15.160869598388672
2260,-96.42943750393533,21.099012157686897,-157.1594138584883,0.0,0.0,-1.0,16.604390284381225,-111.96819305419922
2621,-211.70074717062744,21.097478330165952,-157.15952097811504,0.0,0.0,-1.0,16.624596487919916,-265.64306640625
2673,0.5273380662838463,21.097437008064546,-157.15944044944217,0.0,0.0,-1.0,16.625123926554807,17.3282413482666
2927,-212.49145721661625,21.095881663272742,-157.15958293600957,0.0,0.0,-1.0,16.64433065080084,-266.6776123046875
3189,-307.8786978713979,21.09474966743953,-157.159665974446,0.0,0.0,-1.0,16.657518385822186,-393.847412109375
3272,-2.9553196612432657,21.09478781603174,-157.1595478431099,2.0,0.0,-1.0,16.657084807215142,12.716658592224121
3305,-252.06665426030304,21.094382138342127,-157.15966027625424,0.0,0.0,-1.0,16.661656770898844,-319.4272155761719
3348,-70.18486748724172,21.094424516127024,-157.15958904316403,0.0,0.0,-1.0,16.66118317960354,-76.91864013671875
3349,-70.32542515558816,21.094424357255438,-157.15958910360183,0.0,0.0,-1.0,16.661184956799843,-77.10604858398438
