,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev,x,y,labels
3813,-0.705972495910828,21.09254760734793,-157.15963932948532,4.0,4.0,-1.0,16.681263053731527,15.73996639251709,-17494931.02341284,2402917.3286604383,0
3816,-0.656094841673621,21.092502255674592,-157.15964105297738,4.0,4.0,-1.0,16.681725571572315,15.80693244934082,-17494931.215271093,2402911.9175966526,0
3817,-0.6310623206263699,21.092495794947194,-157.15964129168108,4.0,4.0,-1.0,16.681791374096065,15.840374946594238,-17494931.24184347,2402911.14674523,0
3823,-1.0181783386105963,21.09244342844229,-157.1596434555396,4.0,4.0,-1.0,16.68232392576465,15.324752807617188,-17494931.4827231,2402904.898720144,0
3824,-2.1233689312211936,21.09243568553846,-157.15964418030472,4.0,4.0,-1.0,16.682402547739912,13.85124397277832,-17494931.56340358,2402903.974888246,0
3826,-1.161626515106036,21.092423784935967,-157.15964426721158,4.0,4.0,-1.0,16.682523326497176,15.133687973022461,-17494931.573078007,2402902.554987433,0
3829,-0.8406421646759554,21.09240466124518,-157.15964487997834,4.0,4.0,-1.0,16.68271725777595,15.561861038208008,-17494931.641290892,2402900.273275956,0
3830,-0.6242297053431685,21.092391912581334,-157.1596452877828,4.0,4.0,-1.0,16.682846434923704,15.850540161132812,-17494931.686687477,2402898.7521904195,0
3832,-0.7087665068975184,21.09239181702245,-157.1596453240984,4.0,4.0,-1.0,16.68284740287345,15.737825393676758,-17494931.69073011,2402898.74078897,0
3833,-0.6835020276812429,21.09238534799392,-157.15964556374456,4.0,4.0,-1.0,16.682912918317015,15.771576881408691,-17494931.717407398,2402897.968947684,0
3834,-0.6480550429332652,21.092372391466668,-157.15964604973027,4.0,4.0,-1.0,16.683044070814503,15.818970680236816,-17494931.771507084,2402896.423061473,0
3838,-0.7029789807638736,21.092339828068013,-157.1596473277202,4.0,4.0,-1.0,16.68337330847862,15.746068000793457,-17494931.91377227,2402892.5378150432,0
3839,-0.6029399905964965,21.092320432376486,-157.159648038474,4.0,4.0,-1.0,16.683569149754476,15.87964916229248,-17494931.99289302,2402890.223651559,0
3844,-0.8839823393900588,21.092274577135488,-157.15964992068106,4.0,4.0,-1.0,16.68403137907444,15.505388259887695,-17494932.202419356,2402884.7525137654,0
3846,-1.1446166311689012,21.092254756037477,-157.15965078899654,4.0,4.0,-1.0,16.684230840866803,15.158075332641602,-17494932.29907979,2402882.3875946845,0
3848,-0.6721753907404491,21.092235757337654,-157.15965134331307,4.0,4.0,-1.0,16.684421834972454,15.788187980651855,-17494932.360786024,2402880.1207988756,0
3849,-0.8605088375225023,21.092235544446634,-157.15965142421254,4.0,4.0,-1.0,16.684423974118545,15.537078857421875,-17494932.369791713,2402880.0953981667,0
3850,-1.3385735234514868,21.092221979112868,-157.1596521349013,4.0,4.0,-1.0,16.68456023016188,14.899795532226562,-17494932.448905222,2402878.4768748693,0
3857,-1.2427087803807808,21.092163442708543,-157.1596543728916,4.0,4.0,-1.0,16.685147097392473,15.028202056884766,-17494932.698037162,2402871.492711203,0
3858,-0.7463405682065058,21.092150964225283,-157.15965466741258,4.0,4.0,-1.0,16.685271972208284,15.69015121459961,-17494932.73082309,2402870.0038642245,0
3862,-2.2525321419416287,21.092070964302884,-157.15965837003864,4.0,2.0,-1.0,16.686070624375134,13.682694435119629,-17494933.142997537,2402860.4588255403,0
3863,-0.7420149144709285,21.09204655249876,-157.15965874341228,4.0,4.0,-1.0,16.68631366851332,15.69696044921875,-17494933.1845613,2402857.5461785547,0
3866,-0.6043918781397224,21.09197481333915,-157.159661505677,4.0,4.0,-1.0,16.68702611034678,15.881170272827148,-17494933.4920552,2402848.986762856,0
3867,-0.9009808234695811,21.091961396846344,-157.1596621477119,4.0,4.0,-1.0,16.687159052467905,15.485851287841797,-17494933.563526202,2402847.3860010584,0
3869,-1.0971591966845153,21.091954632545388,-157.15966248947973,4.0,4.0,-1.0,16.687226043475675,15.224347114562988,-17494933.60157162,2402846.578932176,0
3870,-1.9960734708547534,21.091933986802122,-157.15966364875666,4.0,4.0,-1.0,16.68743036368687,14.025999069213867,-17494933.730621736,2402844.115627324,0
3871,-1.3065102797154395,21.091928221806835,-157.15966361054382,4.0,4.0,-1.0,16.687487377246725,14.945473670959473,-17494933.726367902,2402843.4277887014,0
3872,-1.13751660052003,21.09191532139318,-157.15966405428549,4.0,4.0,-1.0,16.68761489474855,15.170926094055176,-17494933.775765,2402841.8886023266,0
3873,-0.7756219338261872,21.09190918378309,-157.15966415719905,4.0,4.0,-1.0,16.68767553314683,15.653512954711914,-17494933.787221286,2402841.156306023,0
3874,-0.8351249880870455,21.091896020430127,-157.1596646998403,4.0,4.0,-1.0,16.687805518478854,15.574305534362793,-17494933.847627833,2402839.5857477877,0
3875,-0.9496805005219358,21.091876764498387,-157.15966534213993,4.0,4.0,-1.0,16.687995504398714,15.421754837036133,-17494933.919128302,2402837.288266364,0
3876,-1.3485419595417625,21.091869728857,-157.15966578434268,4.0,4.0,-1.0,16.688064872447285,14.890008926391602,-17494933.968354087,2402836.4488235284,0
3878,-0.9869515132158995,21.09185037837633,-157.15966644253555,4.0,4.0,-1.0,16.68825552612543,15.372320175170898,-17494934.041623782,2402834.1400616057,0
3879,-0.8473596188414376,21.091843948225684,-157.15966665400066,4.0,4.0,-1.0,16.688318837084807,15.55850601196289,-17494934.06516397,2402833.372861765,0
3883,-0.748619620611862,21.091797926873806,-157.15966851465473,4.0,4.0,-1.0,16.688771333443583,15.690611839294434,-17494934.27229103,2402827.8819223586,0
3886,-0.8069160201957857,21.091778078966865,-157.1596693569561,4.0,4.0,-1.0,16.68896614429832,15.613078117370605,-17494934.366055593,2402825.513812216,0
3891,-1.2180599881758098,21.091705033626837,-157.1596725365686,4.0,4.0,-1.0,16.689681333111366,15.065601348876953,-17494934.720008437,2402816.7985679805,0
3893,-0.7994530997202673,21.09170550683394,-157.15967235679545,4.0,4.0,-1.0,16.6896767088474,15.623739242553711,-17494934.699996185,2402816.8550276314,0
3894,-0.7599694038181042,21.091692347892778,-157.1596728867643,4.0,4.0,-1.0,16.689805256624823,15.676512718200684,-17494934.758992042,2402815.284997932,0
3895,-1.0128816349315457,21.09169206199272,-157.15967299537806,4.0,4.0,-1.0,16.689808048540726,15.339299201965332,-17494934.771082874,2402815.2508864063,0
3896,-0.814637378352927,21.091672476818687,-157.15967373105246,4.0,4.0,-1.0,16.689999203546904,15.603816032409668,-17494934.852977775,2402812.9141253354,0
3898,-0.8030987512829597,21.091632858115208,-157.15967536896312,4.0,4.0,-1.0,16.690385279624024,15.619586944580078,-17494935.035309155,2402808.187109616,0
3899,-1.076440871169325,21.091619335301086,-157.15967603423758,4.0,4.0,-1.0,16.690516869770363,15.25526237487793,-17494935.10936717,2402806.573666018,0
3901,-0.942070651701215,21.091612881526967,-157.1596762504416,4.0,4.0,-1.0,16.690579637754126,15.43448543548584,-17494935.13343489,2402805.8036487903,0
3904,-0.6735764823242789,21.091593360264014,-157.15967695726405,4.0,4.0,-1.0,16.690769365348388,15.792667388916016,-17494935.212118004,2402803.4745143685,0
3911,-1.219272034610185,21.09150018687243,-157.1596810285159,4.0,4.0,-1.0,16.691672189030214,15.0659761428833,-17494935.665327687,2402792.357750467,0
3912,-1.324984837854572,21.091500067369033,-157.159681073911,4.0,4.0,-1.0,16.691673344088485,14.925026893615723,-17494935.670381047,2402792.343492205,0
3920,-1.5963917901353852,21.09144023488365,-157.15968365486984,4.0,4.0,-1.0,16.69225071936671,14.563728332519531,-17494935.957692068,2402785.2047237284,0
3923,-1.2681515275180573,21.091427376793778,-157.1596840610488,4.0,4.0,-1.0,16.692374555103015,15.001505851745605,-17494936.002907705,2402783.6705921683,0
3935,-2.003778053494898,21.091367009956233,-157.15968683602213,4.0,4.0,-1.0,16.69295479611901,14.02125072479248,-17494936.311816324,2402776.468072292,0
3940,-0.960960757543944,21.091348342059366,-157.15968720663378,4.0,4.0,-1.0,16.69313384666748,15.411852836608887,-17494936.35307262,2402774.240758954,0
3964,-0.9640848731323786,21.09128218491379,-157.1596899299964,4.0,4.0,-1.0,16.693766924450756,15.408320426940918,-17494936.656235963,2402766.347387155,0
3967,-0.7927620306290919,21.091275763582562,-157.1596901280695,4.0,4.0,-1.0,16.693828250921797,15.636812210083008,-17494936.678285364,2402765.5812425157,0
3978,-0.7157379584314185,21.09126262123317,-157.15969063791752,4.0,4.0,-1.0,16.69395369911217,15.739636421203613,-17494936.735041384,2402764.0131969624,0
4018,-1.7815475741190312,21.091162216386305,-157.1596951513679,4.0,4.0,-1.0,16.694909132740577,14.319512367248535,-17494937.237476382,2402752.0336559583,0
4023,-0.937316216819454,21.091149950406706,-157.1596953271576,4.0,4.0,-1.0,16.69502549408935,15.445270538330078,-17494937.257045202,2402750.570173324,0
4034,-0.7759012779060868,21.091117080951122,-157.1596966010981,4.0,4.0,-1.0,16.695336924720323,15.660801887512207,-17494937.398859605,2402746.6484425096,0
4041,-0.71348266763016,21.091103933242586,-157.15969711046176,4.0,4.0,-1.0,16.69546133892436,15.74415111541748,-17494937.455561712,2402745.0797592206,0
4070,-0.8233879856416024,21.091050949751416,-157.1596992955516,4.0,4.0,-1.0,16.695961800171062,15.598111152648926,-17494937.6988048,2402738.7581786597,0
4073,-0.7702759660787706,21.091037798899684,-157.15969980546572,4.0,4.0,-1.0,16.696085791787482,15.669051170349121,-17494937.75556818,2402737.189121045,0
4122,-0.9129278374784917,21.090951812504684,-157.15970331104975,4.0,4.0,-1.0,16.696894289794727,15.479657173156738,-17494938.14580801,2402726.929894843,0
4126,-0.6814304244544473,21.090938879928945,-157.15970373855518,4.0,4.0,-1.0,16.697015557292616,15.78844165802002,-17494938.193397697,2402725.386881258,0
4133,-1.2213681332177657,21.090925075441742,-157.15970449652224,4.0,4.0,-1.0,16.697144904654124,15.06865406036377,-17494938.277774204,2402723.739838178,0
4140,-0.9820969036336464,21.090905558881204,-157.15970518151786,4.0,4.0,-1.0,16.697327604706516,15.38786506652832,-17494938.354027566,2402721.4112755936,0
4154,-0.6831745506860898,21.090879521517962,-157.15970610073066,4.0,4.0,-1.0,16.697571039403556,15.78667163848877,-17494938.456353866,2402718.304702568,0
4246,-0.7265701290052675,21.09068199624749,-157.15971386507138,4.0,4.0,-1.0,16.699406305429875,15.730646133422852,-17494939.320676323,2402694.7375613865,0
4262,-0.6147511477065564,21.090636138343143,-157.1597155959429,4.0,4.0,-1.0,16.699829482342466,15.88016128540039,-17494939.51335606,2402689.266166168,0
4266,-0.9358216378423094,21.090609515820226,-157.15971674543576,4.0,4.0,-1.0,16.700074653272168,15.452312469482422,-17494939.641317017,2402686.0897822655,0
4268,-0.7124507670450839,21.090603204588046,-157.15971690195886,4.0,4.0,-1.0,16.700132720317924,15.750198364257812,-17494939.65874109,2402685.3367772214,0
4280,-1.2642317050376732,21.09054966345897,-157.1597194121569,4.0,4.0,-1.0,16.700624496894307,15.014982223510742,-17494939.93817506,2402678.94868516,0
4281,-0.7567026359429292,21.09053718770954,-157.15971965888923,4.0,4.0,-1.0,16.700738872765214,15.691802024841309,-17494939.965641174,2402677.460180537,0
4286,-0.9132292189460713,21.09052396452257,-157.15972018981316,4.0,4.0,-1.0,16.70086001267191,15.483221054077148,-17494940.024743356,2402675.8824979006,0
4289,-0.831445671243273,21.09051101397876,-157.15972061769554,4.0,4.0,-1.0,16.70097856670327,15.592384338378906,-17494940.072375003,2402674.337344955,0
4312,-0.9781771279958775,21.090452196020063,-157.1597227547193,4.0,4.0,-1.0,16.701515910041053,15.397279739379883,-17494940.310267404,2402667.31966898,0
4316,-0.772308550280286,21.09041986957559,-157.15972381315953,4.0,4.0,-1.0,16.70181046857033,15.672065734863281,-17494940.42809243,2402663.462744187,0
4324,-0.7950855380404391,21.09040031741324,-157.1597245094554,4.0,4.0,-1.0,16.701988364075078,15.641874313354492,-17494940.50560373,2402661.129941808,0
4354,-1.1539629590552067,21.090282882227417,-157.15972876632176,4.0,4.0,-1.0,16.70305266539799,15.164435386657715,-17494940.979475927,2402647.1185527034,0
4366,-0.911937593446055,21.090244193807976,-157.15973002694142,4.0,4.0,-1.0,16.703401723207207,15.4874849319458,-17494941.119807467,2402642.502574878,0
4367,-0.8112896132442984,21.090244307596972,-157.15972998374477,4.0,4.0,-1.0,16.703400697704637,15.621681213378906,-17494941.114998836,2402642.516151226,0
4376,-1.2169216866859642,21.090211393717105,-157.15973129517172,4.0,4.0,-1.0,16.703697045057197,15.081134796142578,-17494941.260986216,2402638.589143988,0
4398,-0.971324458703748,21.09015977060757,-157.15973301143967,4.0,4.0,-1.0,16.70416071015643,15.409061431884766,-17494941.452040292,2402632.429910621,0
4401,-0.8611470576106512,21.09015989516955,-157.15973296415538,4.0,4.0,-1.0,16.704159593049553,15.555963516235352,-17494941.44677663,2402632.444772304,0
4404,-1.1142822616129706,21.090153123734503,-157.15973330083457,4.0,4.0,-1.0,16.70422030989721,15.218510627746582,-17494941.484255586,2402631.636862029,0
4415,-1.2670797601786035,21.090133497667342,-157.15973405082383,4.0,4.0,-1.0,16.704396154542337,15.0149564743042,-17494941.567744005,2402629.295246147,0
4423,-0.798392060201877,21.090101613652116,-157.1597349922702,4.0,4.0,-1.0,16.704681400195113,15.640158653259277,-17494941.672545336,2402625.491116518,0
4436,-1.2709655144572025,21.090055717360997,-157.15973679961084,4.0,4.0,-1.0,16.70509107626276,15.010470390319824,-17494941.873737577,2402620.015162693,0
4445,-1.0875925974032725,21.09003001338785,-157.15973764085422,4.0,4.0,-1.0,16.70532003455446,15.255196571350098,-17494941.96738436,2402616.948384685,0
4453,-1.9287508634915866,21.090003153312562,-157.1597389245191,4.0,4.0,-1.0,16.705558923640638,14.133891105651855,-17494942.11028128,2402613.743671036,0
4460,-1.4818149015663948,21.089984230457404,-157.15973942661094,4.0,4.0,-1.0,16.70572699511831,14.729973793029785,-17494942.16617389,2402611.485958719,0
4464,-0.8416640642317361,21.089984954447793,-157.15973915187715,4.0,4.0,-1.0,16.70572056810488,15.583501815795898,-17494942.13559066,2402611.5723390197,0
4477,-0.950538411449088,21.089945981488597,-157.15974059185703,4.0,4.0,-1.0,16.70606615107681,15.438681602478027,-17494942.29588849,2402606.922421625,0
4483,-0.6344711135971011,21.089933390965935,-157.15974092233571,4.0,4.0,-1.0,16.706177625543205,15.86021614074707,-17494942.33267721,2402605.420229299,0
4487,-1.9687063488381682,21.08992540876468,-157.1597417282985,4.0,4.0,-1.0,16.706248255970422,14.081306457519531,-17494942.422396578,2402604.467862115,0
4498,-1.0801346531370655,21.08990699377845,-157.15974204857696,4.0,4.0,-1.0,16.70641107438132,15.266231536865234,-17494942.45804981,2402602.2707454944,0
4503,-0.8879117459873669,21.08989426550287,-157.15974243504442,4.0,4.0,-1.0,16.706523509928957,15.5226411819458,-17494942.501071174,2402600.7521180823,0
4519,-1.2440703922402463,21.089855028865582,-157.15974400094734,4.0,4.0,-1.0,16.706869577552425,15.04810905456543,-17494942.67538669,2402596.0707437526,0
4524,-0.8275198814590112,21.089842556364882,-157.15974429538315,4.0,4.0,-1.0,16.706979417445837,15.603619575500488,-17494942.708163135,2402594.5826336993,0
4540,-0.6269150522894051,21.08977807169902,-157.15974659274514,4.0,4.0,-1.0,16.707546015255502,15.871659278869629,-17494942.963904303,2402586.888887509,0
4547,-0.942664158581465,21.08976477269775,-157.1597472086065,4.0,4.0,-1.0,16.707662598608295,15.450777053833008,-17494943.032461673,2402585.302167439,0
4565,-0.844826238702808,21.089693700256234,-157.15974983248634,4.0,4.0,-1.0,16.708284083142644,15.581849098205566,-17494943.32455064,2402576.8224301185,0
4570,-1.0783985737398325,21.089680493297575,-157.15975042190965,4.0,4.0,-1.0,16.708399280367303,15.27053451538086,-17494943.390164945,2402575.2466926593,0
4578,-0.9696791857895732,21.089661201092397,-157.15975111178267,4.0,4.0,-1.0,16.708567392881378,15.415661811828613,-17494943.466961257,2402572.9449176756,0
4580,-1.0045189029842732,21.089654689226577,-157.15975137299276,4.0,4.0,-1.0,16.708624093647813,15.36926555633545,-17494943.49603903,2402572.167979609,0
4582,-1.0414378972673148,21.089641703389002,-157.15975188242402,4.0,4.0,-1.0,16.708737099412247,15.32015323638916,-17494943.552748658,2402570.6186247673,0
4584,-1.2752209593963926,21.0896414390786,-157.1597519827314,4.0,4.0,-1.0,16.7087393986003,15.008444786071777,-17494943.563914824,2402570.5870896,0
4585,-0.7147288395426585,21.089642072758995,-157.15975174224585,4.0,4.0,-1.0,16.708733886276605,15.755762100219727,-17494943.537144095,2402570.662694714,0
4591,-0.6147818639001343,21.08962924114436,-157.15975219445554,4.0,4.0,-1.0,16.708845466258936,15.88913631439209,-17494943.58748385,2402569.131740513,0
4602,-1.1987788449187065,21.089615635706885,-157.15975294163616,4.0,4.0,-1.0,16.708963681652676,15.110591888427734,-17494943.670659617,2402567.508460792,0
4611,-1.0777206395287067,21.089589882159967,-157.15975388753583,4.0,4.0,-1.0,16.709187186323106,15.272226333618164,-17494943.775956687,2402564.435777171,0
4615,-2.1749301873205695,21.089582167786958,-157.15975460876348,4.0,4.0,-1.0,16.709254069137387,13.809347152709961,-17494943.85624338,2402563.515367062,0
4622,-0.8261788605195761,21.089577219096828,-157.15975428089388,4.0,4.0,-1.0,16.70929695745872,15.607725143432617,-17494943.8197451,2402562.9249335644,0
4634,-0.6114640388732369,21.089551564809504,-157.15975519608116,4.0,4.0,-1.0,16.709519088777597,15.894233703613281,-17494943.921623286,2402559.864093504,0
4638,-1.5341061703875312,21.08954404631281,-157.15975584482376,4.0,4.0,-1.0,16.709584123891545,14.664109230041504,-17494943.99384098,2402558.967053838,0
4646,-0.9726721165934578,21.089525255587606,-157.15975636486036,4.0,4.0,-1.0,16.70974653540179,15.412850379943848,-17494944.051731188,2402556.7251130575,0
4648,-1.1242602363417973,21.089525084205253,-157.15975642989733,4.0,4.0,-1.0,16.709748015826335,15.210734367370605,-17494944.058971073,2402556.7046652534,0
4649,-1.2701334209050401,21.089524919282994,-157.1597564924828,4.0,4.0,-1.0,16.709749440458836,15.01623821258545,-17494944.065938056,2402556.6849882095,0
4654,-1.05826186730701,21.089512207197355,-157.15975691091853,4.0,4.0,-1.0,16.709859206865076,15.298843383789062,-17494944.11251811,2402555.1682963404,0
4661,-0.9030743803305086,21.089492952660365,-157.1597576114652,4.0,4.0,-1.0,16.71002530597616,15.505926132202148,-17494944.190502606,2402552.871018192,0
4667,-0.9164008133666357,21.08947350560301,-157.1597583880401,4.0,4.0,-1.0,16.71019287017407,15.488325119018555,-17494944.27695053,2402550.55077055,0
4668,-0.8620356021674525,21.08946708931828,-157.15975862250076,4.0,4.0,-1.0,16.71024811246025,15.560867309570312,-17494944.30305057,2402549.7852373407,0
4673,-1.2630129694516654,21.089453679336714,-157.15975931137345,4.0,4.0,-1.0,16.71036349926726,15.026346206665039,-17494944.37973553,2402548.185279426,0
4674,-1.0738994037710654,21.089453893146228,-157.15975923023882,4.0,4.0,-1.0,16.710361660268973,15.278495788574219,-17494944.37070366,2402548.210789243,0
4681,-0.914758721319231,21.089441115183433,-157.15975968049875,4.0,4.0,-1.0,16.710471523241722,15.490793228149414,-17494944.420826368,2402546.686238234,0
4683,-0.8518238995857246,21.089434706735965,-157.15975991347247,4.0,4.0,-1.0,16.710526590133668,15.574761390686035,-17494944.44676088,2402545.9216402625,0
4684,-0.8164943003139342,21.08943474667886,-157.15975989831543,4.0,4.0,-1.0,16.71052624695585,15.621867179870605,-17494944.445073612,2402545.9264058876,0
4685,-1.1748152625586954,21.089427861212418,-157.159760312397,4.0,4.0,-1.0,16.71058538914076,15.1441650390625,-17494944.491168957,2402545.1048943656,0
4693,-1.0616137478209566,21.08940854780802,-157.15976104738698,4.0,4.0,-1.0,16.71075114852283,15.295266151428223,-17494944.57298767,2402542.8005939964,0
4702,-0.6415673098308616,21.089389578676847,-157.15976165455695,4.0,4.0,-1.0,16.71091376428376,15.855490684509277,-17494944.64057752,2402540.537369481,0
4709,-0.7450379667134257,21.089376498617256,-157.15976222598067,4.0,4.0,-1.0,16.711025786062237,15.717641830444336,-17494944.70418812,2402538.9767756877,0
4712,-0.9147660593480396,21.089363340232502,-157.15976282761378,4.0,4.0,-1.0,16.711138388884137,15.491450309753418,-17494944.77116161,2402537.406836989,0
4715,-1.2340815265488345,21.0893564956386,-157.15976322964818,4.0,4.0,-1.0,16.71119692584034,15.065754890441895,-17494944.815915875,2402536.5902023995,0
4716,-0.9271409847278846,21.08935035796908,-157.15976336347535,4.0,4.0,-1.0,16.711249396263156,15.475061416625977,-17494944.830813445,2402535.8579116184,0
4721,-1.0730006441190199,21.089343708457495,-157.15976369196818,4.0,4.0,-1.0,16.71130622025521,15.280638694763184,-17494944.867381103,2402535.064552545,0
4723,-3.072125644699554,21.089334962988925,-157.1597648159916,4.0,4.0,-1.0,16.71138092043111,12.615213394165039,-17494944.992506813,2402534.021123053,0
4728,-1.1714822017856932,21.089324141130597,-157.15976453455121,4.0,4.0,-1.0,16.71147330121312,15.149497032165527,-17494944.961177018,2402532.7299577687,0
4729,-2.278070229484001,21.089322889774174,-157.15976500930478,4.0,4.0,-1.0,16.711483979481272,13.674057006835938,-17494945.01402634,2402532.580657357,0
4731,-1.0426515712642868,21.089317800798355,-157.15976474691738,4.0,4.0,-1.0,16.711527397143072,15.321325302124023,-17494944.98481751,2402531.973487286,0
4737,-1.3152003172326658,21.089311006010433,-157.15976513191657,4.0,4.0,-1.0,16.711585347293294,14.957984924316406,-17494945.027675424,2402531.1627953416,0
4742,-0.8650765862694243,21.0892985405955,-157.1597654762499,4.0,4.0,-1.0,16.711691597651225,15.558256149291992,-17494945.066006433,2402529.6755361445,0
4743,-0.949114735765761,21.08929844558231,-157.15976551230207,4.0,4.0,-1.0,16.71169240718882,15.446206092834473,-17494945.070019744,2402529.664200041,0
4744,-0.8823301098236698,21.08929852108886,-157.15976548365157,4.0,4.0,-1.0,16.7116917638632,15.53525161743164,-17494945.06683038,2402529.6732087904,0
4746,-1.1931881372875068,21.089285193590047,-157.15976615616657,4.0,4.0,-1.0,16.711805272731,15.120887756347656,-17494945.14169441,2402528.083093776,0
4749,-1.7624270961532602,21.08928454975576,-157.15976640039233,4.0,4.0,-1.0,16.71181075385539,14.361907958984375,-17494945.1688815,2402528.006277374,0
4750,-0.9098546977111255,21.089285513924544,-157.15976603461834,4.0,4.0,-1.0,16.711802545556566,15.498662948608398,-17494945.128163725,2402528.1213131514,0
4756,-0.8055216043940163,21.089272653355607,-157.15976653076913,4.0,4.0,-1.0,16.71191199219902,15.637883186340332,-17494945.18339498,2402526.586908062,0
4760,-0.9620535009453306,21.089265986931597,-157.15976686899822,4.0,4.0,-1.0,16.711968691262882,15.429230690002441,-17494945.221046466,2402525.791531566,0
4761,-1.188307688174973,21.089265731129416,-157.15976696605932,4.0,4.0,-1.0,16.711970866439515,15.12756061553955,-17494945.23185126,2402525.7610116005,0
4767,-0.8854257048842555,21.08924684533227,-157.15976732629335,4.0,4.0,-1.0,16.71213136536244,15.531563758850098,-17494945.271952327,2402523.507731909,0
4770,-0.9015211923360766,21.08924031785598,-157.15976763007308,4.0,4.0,-1.0,16.71218679526646,15.51015853881836,-17494945.305768933,2402522.7289335146,0
4773,-1.1704227662885387,21.089233503846046,-157.15976804274277,4.0,4.0,-1.0,16.712244634734816,15.151680946350098,-17494945.351707116,2402521.9159486005,0
4776,-0.9406694705139671,21.08922725338572,-157.15976824190966,4.0,4.0,-1.0,16.71229766936449,15.4580717086792,-17494945.37387827,2402521.170201264,0
4779,-0.7282998644805048,21.089220982558118,-157.15976844896326,4.0,4.0,-1.0,16.71235085639637,15.741284370422363,-17494945.39692737,2402520.422023928,0
4781,-1.2862126495492703,21.089220351784896,-157.1597686882973,4.0,4.0,-1.0,16.712356205258402,14.997406005859375,-17494945.423569918,2402520.3467658847,0
4786,-1.076730335753382,21.089201052770118,-157.1597694953571,4.0,4.0,-1.0,16.712519758279086,15.27687931060791,-17494945.5134114,2402518.04418557,0
4791,-1.5460915520998242,21.089194009046423,-157.1597699964935,4.0,4.0,-1.0,16.712579403349082,14.651124000549316,-17494945.56919765,2402517.203793547,0
4795,-1.8655610989699198,21.089180621072952,-157.15977073421303,4.0,4.0,-1.0,16.71269269932236,14.2252779006958,-17494945.65132021,2402515.6064643757,0
4804,-0.9763952463545138,21.089155569383742,-157.1597715584722,4.0,4.0,-1.0,16.71290444926126,15.411044120788574,-17494945.74307632,2402512.6175289033,0
4805,-1.0272219489343115,21.08914247953402,-157.1597721853032,4.0,4.0,-1.0,16.71301496165688,15.343385696411133,-17494945.812854834,2402511.0557695003,0
4806,-0.6076957059885899,21.08914295410713,-157.1597720053141,4.0,4.0,-1.0,16.71301095657691,15.902750015258789,-17494945.792818535,2402511.1123911575,0
4808,-0.881359014838381,21.08912961020362,-157.15977272911124,4.0,4.0,-1.0,16.713123525420087,15.537978172302246,-17494945.873391263,2402509.520320553,0
4809,-0.9252135351634934,21.08912304219811,-157.15977305163145,4.0,4.0,-1.0,16.71317889893544,15.479560852050781,-17494945.90929405,2402508.736687205,0
4818,-0.8132693575244048,21.08909057264215,-157.15977452666664,4.0,4.0,-1.0,16.71345231353189,15.629093170166016,-17494946.07349422,2402504.8627221896,0
4819,-0.8050195390023873,21.089090581969412,-157.1597745231278,4.0,4.0,-1.0,16.71345223506796,15.640092849731445,-17494946.073100276,2402504.8638350302,0
4822,-1.092455336547573,21.089083736296544,-157.15977495192598,4.0,4.0,-1.0,16.713509810098913,15.256902694702148,-17494946.12083387,2402504.04707321,0
