,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev,x,y,labels
4048,-0.7287495256732655,-18.62523549128242,-178.49186621206712,4.0,3.0,-1.0,51.8961846194361,50.92451858520508,-19869623.657468427,-2110862.76514687,0
4067,-0.7564349762988059,-18.62527380115169,-178.4918701030339,4.0,3.0,-1.0,51.89642786878903,50.887847900390625,-19869624.090608865,-2110867.265474388,0
4082,-0.7288204923634112,-18.62529907181291,-178.4918724380712,4.0,3.0,-1.0,51.89658823216814,50.924827575683594,-19869624.350544028,-2110870.234063826,0
4109,-0.690124886882586,-18.625337510048336,-178.49187646209396,4.0,4.0,-1.0,51.89683201266962,50.97666549682617,-19869624.798496194,-2110874.7494724304,0
4132,-0.6741620778475408,-18.625363144624433,-178.49187915392568,4.0,4.0,-1.0,51.8969944953169,50.998111724853516,-19869625.098149527,-2110877.7608127263,0
4160,-0.778358351962197,-18.625395201842842,-178.491882527603,4.0,3.0,-1.0,51.89719758004139,50.8593864440918,-19869625.47370557,-2110881.526633139,0
4167,-0.7723406011664338,-18.625401613233105,-178.4918832038633,4.0,3.0,-1.0,51.89723818233324,50.86745071411133,-19869625.548986524,-2110882.279791031,0
4272,-0.639944102012123,-18.62562621131671,-178.49190711190366,4.0,4.0,-1.0,51.898657514841034,51.0453987121582,-19869628.2104174,-2110908.6637619617,1
4275,-0.7007826748422303,-18.62563263714079,-178.4919078005298,4.0,4.0,-1.0,51.89869803626425,50.96432113647461,-19869628.28707491,-2110909.4186164476,1
4276,-0.7814521014270213,-18.625632642111885,-178.4919077999916,4.0,3.0,-1.0,51.898698067609075,50.85676193237305,-19869628.287015,-2110909.4192004125,1
4302,-0.7864654353716105,-18.62567760184979,-178.49191263068772,4.0,3.0,-1.0,51.89898145085681,50.85036087036133,-19869628.824765634,-2110914.7007120973,1
4312,-0.6283298894877589,-18.625716135618514,-178.4919167821118,4.0,4.0,-1.0,51.89922414423563,51.06145095825195,-19869629.286900047,-2110919.2273532497,1
4328,-0.6685776241420172,-18.625754686019786,-178.49192094008038,4.0,4.0,-1.0,51.8994667699335,51.00802993774414,-19869629.749762993,-2110923.7559492886,1
4329,-0.6060699765730533,-18.62575468216782,-178.49192094049732,4.0,4.0,-1.0,51.89946674570092,51.091373443603516,-19869629.749809407,-2110923.7554967925,1
4332,-0.8040144736123693,-18.62576111949952,-178.4919216329254,4.0,3.0,-1.0,51.899507243706466,50.82748794555664,-19869629.826890144,-2110924.5117036705,1
4335,-0.6138410644689429,-18.62576753301486,-178.4919223281299,4.0,4.0,-1.0,51.89954758709791,51.081092834472656,-19869629.90427996,-2110925.265112824,1
4338,-0.7331674805091097,-18.62577396522063,-178.4919230214015,4.0,4.0,-1.0,51.899588043266704,50.92203140258789,-19869629.9814546,-2110926.0207176064,1
4349,-0.690228595141889,-18.625793239574573,-178.49192510514936,4.0,4.0,-1.0,51.89970924298541,50.97940444946289,-19869630.21341635,-2110928.284916806,1
4357,-0.6065253090755505,-18.62579966008334,-178.49192580051275,4.0,4.0,-1.0,51.89974960643667,51.09104919433594,-19869630.29082385,-2110929.0391476327,1
4359,-0.6781269736220565,-18.625806090234274,-178.4919264950002,4.0,4.0,-1.0,51.899790025701805,50.99562072753906,-19869630.36813384,-2110929.794511173,1
4364,-0.6072639534932023,-18.625812511193946,-178.4919271905412,4.0,4.0,-1.0,51.899830382408254,51.090145111083984,-19869630.445561104,-2110930.5487950253,1
4366,-0.7414562286958244,-18.625818945330842,-178.49192788491692,4.0,4.0,-1.0,51.8998708171348,50.91126251220703,-19869630.52285866,-2110931.304626862,1
4372,-0.6550754761619828,-18.6258382155988,-178.4919299719052,4.0,4.0,-1.0,51.89999189057926,51.02655792236328,-19869630.755181134,-2110933.5683466704,1
