,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev,x,y,labels
934,-2.3270633168658605,-18.63143926760247,-178.52724030010054,4.0,1.0,-1.0,52.353452993451356,49.250701904296875,-19873561.48293558,-2111591.5468456857,0
937,-1.8000433230681665,-18.631452027156566,-178.52724158887958,4.0,1.0,-1.0,52.35346886638581,49.95341110229492,-19873561.626401804,-2111593.045787475,0
941,-1.8584957056600615,-18.631502991392,-178.52724692367732,4.0,1.0,-1.0,52.35353214652787,49.87553787231445,-19873562.220268775,-2111599.0328647583,0
947,-2.2124137919340683,-18.63153482776038,-178.52725027818923,4.0,1.0,-1.0,52.35357157934959,49.4036865234375,-19873562.59369133,-2111602.7728766096,0
951,-2.721404621117017,-18.631553918402055,-178.52725231390875,4.0,1.0,-1.0,52.35359518940277,48.72505569458008,-19873562.82030659,-2111605.0155707477,0
955,-1.6259339824605377,-18.631579429767736,-178.5272548712242,4.0,1.0,-1.0,52.35362669829374,50.18571472167969,-19873563.104985647,-2111608.0125469007,0
961,-1.6587216437769712,-18.631592163886584,-178.5272561986169,4.0,1.0,-1.0,52.35364240817398,50.14201354980469,-19873563.252750326,-2111609.5085018896,0
963,-1.758105161327876,-18.63159852831058,-178.52725686917972,4.0,1.0,-1.0,52.35365025538704,50.0095100402832,-19873563.327397037,-2111610.2561698267,0
1046,-2.285986396230328,-18.63218391498813,-178.52731679009614,4.0,1.0,-1.0,52.35435927252911,49.30637741088867,-19873569.99776294,-2111679.0252543245,1
1049,-1.4140667904016482,-18.6321839442734,-178.52731671457514,4.0,1.0,-1.0,52.35435930736821,50.468936920166016,-19873569.98935598,-2111679.0286946553,1
1059,-2.033961304197419,-18.632228373660475,-178.52732112413474,4.0,1.0,-1.0,52.35441208967859,49.64246368408203,-19873570.48022591,-2111684.248106121,1
1061,-1.894557740199616,-18.632247429421128,-178.52732297642154,4.0,1.0,-1.0,52.354434683466025,49.8283576965332,-19873570.686421536,-2111686.486711711,1
1063,-2.0780293348184387,-18.63225377344648,-178.5273236134444,4.0,1.0,-1.0,52.35444219943565,49.583736419677734,-19873570.757334597,-2111687.231986167,1
1065,-1.1170631726781721,-18.63226015731289,-178.52732415133912,4.0,1.0,-1.0,52.35444975961582,50.86503219604492,-19873570.817212764,-2111687.981941044,1
