,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
817,-0.6649161573659512,-18.62428453617166,-178.45812829189504,4.0,1.0,-1.0,52.03474442116567,-19865867.969374444,-2110751.0551076233,-1
868,-1.302500493037087,-18.62499991461556,-178.45820422213643,4.0,1.0,-1.0,52.03462569807289,-19865876.42189025,-2110835.091565046,-1
917,-0.5893775576475946,-18.625796090404755,-178.45828621042776,4.0,1.0,-1.0,52.0344748966063,-19865885.548785094,-2110928.6198098883,-1
941,-1.6540748899064965,-18.626187240928672,-178.45832673925005,4.0,1.0,-1.0,52.03439360524317,-19865890.060432952,-2110974.569146988,-1
1035,-0.7115922001023591,-18.627951421741727,-178.45851222550513,4.0,1.0,-1.0,52.03396797538062,-19865910.70866842,-2111181.8127727383,-1
1197,-1.1943381944299745,-18.630457806356254,-178.45877335167614,4.0,1.0,-1.0,52.03319723327968,-19865939.77710081,-2111476.2490099696,-1
1229,-0.5356334052548846,-18.631100203536565,-178.45884008125935,4.0,1.0,-1.0,52.032968309464195,-19865947.205404032,-2111551.714985788,-1
1570,-0.5174033820085242,-18.636661725658467,-178.45941625470573,4.0,4.0,-1.0,52.03045116258363,-19866011.344738692,-2112205.06990138,-1
1583,-1.3479823208613197,-18.63689112388807,-178.4594408094142,4.0,1.0,-1.0,52.030326728921864,-19866014.078156333,-2112232.0195406666,-1
1627,-0.6362163941985273,-18.63749707779967,-178.45950573427646,4.0,1.0,-1.0,52.029990185754286,-19866021.30555894,-2112303.2070102436,-1
1946,-0.5141413996482243,-18.642851244611062,-178.46006155256288,4.0,4.0,-1.0,52.02652146946912,-19866083.178967558,-2112932.22559804,-1
1962,-0.6017178913489261,-18.64313036504177,-178.46009103118791,4.0,1.0,-1.0,52.02631624811693,-19866086.460513085,-2112965.017787177,-1
2081,-0.5326391675112063,-18.644976429226798,-178.46028316915093,4.0,1.0,-1.0,52.02489808109567,-19866107.84921329,-2113181.902178409,-1
