,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
151,3302,-1.4844827875547253,-18.624398591279704,-178.45903989283588,4.0,1.0,-1.0,52.057999958601606,-19865969.448326983,-2110764.4532891894,-1
192,3348,-3.2147511846355883,-18.624570710072657,-178.4590575769173,4.0,1.0,-1.0,52.05747596509354,-19865971.416909926,-2110784.672294016,-1
234,3392,-3.218026905298757,-18.624736514737478,-178.45907518470605,4.0,1.0,-1.0,52.05697222423623,-19865973.377,-2110804.1495898557,-1
340,3500,-1.838256644325384,-18.625106432533496,-178.4591146167451,4.0,1.0,-1.0,52.05585199874895,-19865977.76655451,-2110847.604396807,-1
457,3620,-3.182440589082262,-18.625584623324272,-178.4591648037123,4.0,1.0,-1.0,52.05441134533885,-19865983.353342142,-2110903.7783374907,-1
500,3667,-1.0793036281090735,-18.625782520215086,-178.4591854947236,4.0,1.0,-1.0,52.05381759789543,-19865985.656654984,-2110927.0256909006,-1
505,3672,-1.7590369706945241,-18.625788855937728,-178.4591860916774,4.0,1.0,-1.0,52.05379861270012,-19865985.723107576,-2110927.769961674,-1
541,3710,-0.5108807015628827,-18.625935693693727,-178.45920121280548,4.0,1.0,-1.0,52.05335902216847,-19865987.406383857,-2110945.019311991,-1
558,3727,-0.9743922029429086,-18.62601223747064,-178.45920883115147,4.0,1.0,-1.0,52.053130186199276,-19865988.25445425,-2110954.0110817235,-1
620,3790,-3.620857024390944,-18.626292934350158,-178.45923666832107,4.0,1.0,-1.0,52.05229285584482,-19865991.353273798,-2110986.9852105044,-1
646,3819,-2.5127868534939357,-18.626446283099913,-178.45925216860934,4.0,1.0,-1.0,52.0518366339229,-19865993.078757994,-2111004.9994751713,-1
687,3861,-2.062532933811326,-18.626644369995933,-178.45927229908622,4.0,1.0,-1.0,52.05124859314492,-19865995.319672428,-2111028.269266845,-1
689,3863,-6.353435789678769,-18.626650480264207,-178.4592725647566,4.0,1.0,-1.0,52.051230477140045,-19865995.349246718,-2111028.9870566544,-1
718,3893,-5.307201704894852,-18.62677837232054,-178.45928578441433,4.0,1.0,-1.0,52.05085161197894,-19865996.820852287,-2111044.010889768,-1
721,3897,-4.911425247443277,-18.62679757447224,-178.45928780108773,4.0,1.0,-1.0,52.05079477979416,-19865997.045347344,-2111046.2666205447,-1
725,3901,-0.9741450936530782,-18.626804223863157,-178.45928881732553,4.0,1.0,-1.0,52.05077510289812,-19865997.15847442,-2111047.047743258,-1
730,3906,-8.571155381536073,-18.62682929759155,-178.4592907799591,4.0,1.0,-1.0,52.05070091927792,-19865997.376953788,-2111049.993225163,-1
734,3910,-7.937876939001852,-18.626854910507497,-178.45929349110455,4.0,1.0,-1.0,52.05062516427461,-19865997.67875712,-2111053.0020474084,-1
826,4006,-3.185587535313971,-18.627283725035888,-178.45933959639763,4.0,1.0,-1.0,52.04936044747592,-19866002.81117487,-2111103.376179679,-1
841,4022,-6.4139167345604156,-18.627347505607048,-178.45934639266258,4.0,1.0,-1.0,52.04917291496078,-19866003.567731623,-2111110.8686860423,-1
842,4023,-0.5140146948176607,-18.627354290176353,-178.45934763478593,4.0,1.0,-1.0,52.04915297525167,-19866003.706004158,-2111111.665691123,-1
843,4024,-6.350636819216561,-18.627353909115502,-178.45934710830414,4.0,1.0,-1.0,52.04915409513706,-19866003.647396475,-2111111.620926685,-1
858,4040,-3.156784946227845,-18.627443705040047,-178.45935735249068,4.0,1.0,-1.0,52.04889034497047,-19866004.787774105,-2111122.169544441,-1
887,4071,-1.809733196027992,-18.627552560961853,-178.4593695902908,4.0,1.0,-1.0,52.04857100901063,-19866006.150079783,-2111134.95720921,-1
892,4076,-5.998017244139192,-18.62756508255753,-178.45937063875957,4.0,1.0,-1.0,52.04853430403455,-19866006.266794793,-2111136.4281629473,-1
900,4084,-7.453561738135704,-18.627609768221088,-178.45937549920072,4.0,1.0,-1.0,52.048403362436154,-19866006.807856627,-2111141.677538233,-1
912,4098,-1.7413772088641508,-18.62768689701712,-178.45938456649355,4.0,1.0,-1.0,52.04817752604413,-19866007.817223046,-2111150.7381207244,-1
938,4124,-1.0651556105815416,-18.62778286184307,-178.45939529605258,4.0,1.0,-1.0,52.04789684234765,-19866009.011632096,-2111162.0114415735,-1
945,4131,-2.3056982842329035,-18.62784671400661,-178.4594022757259,4.0,1.0,-1.0,52.04771027131119,-19866009.788605772,-2111169.51238015,-1
950,4136,-0.5893652555334938,-18.62785961113217,-178.45940384630882,4.0,1.0,-1.0,52.047672605115615,-19866009.963442266,-2111171.027451264,-1
961,4147,-5.164132328373626,-18.62790405532577,-178.4594083813153,4.0,1.0,-1.0,52.04754285221952,-19866010.468276877,-2111176.2484693034,-1
1003,4193,-0.7030391924429296,-18.628076854451443,-178.45942773346772,4.0,1.0,-1.0,52.0470390628243,-19866012.622548632,-2111196.5478122784,-1
1012,4202,-2.0893269631690146,-18.62810869688075,-178.45943109039607,4.0,1.0,-1.0,52.046946347213634,-19866012.996240184,-2111200.2884607348,-1
1015,4205,-1.490973265587172,-18.628121507768675,-178.4594325344694,4.0,1.0,-1.0,52.04690905626467,-19866013.156993695,-2111201.793403525,-1
1119,4313,-2.10564845088561,-18.628650730137235,-178.4594881196318,4.0,1.0,-1.0,52.04537382766193,-19866019.344705667,-2111263.9632283673,-1
1123,4317,-3.986610234410364,-18.628676074582092,-178.45949051696547,4.0,1.0,-1.0,52.045300564012,-19866019.61157563,-2111266.9405444483,-1
1138,4333,-2.7329279147945726,-18.628758913241782,-178.45949894063313,4.0,1.0,-1.0,52.04506126554315,-19866020.549294025,-2111276.671945291,-1
1140,4335,-10.865810229008503,-18.628758382320626,-178.45949820714932,4.0,1.0,-1.0,52.04506279842735,-19866020.467642978,-2111276.6095757657,-1
1141,4336,-0.6013401531322415,-18.628765417883784,-178.45949977032598,4.0,1.0,-1.0,52.04504248607736,-19866020.64165501,-2111277.4360727584,-1
1151,4347,-1.8054936835540047,-18.628803529474663,-178.4595034813889,4.0,1.0,-1.0,52.04493248586822,-19866021.054768648,-2111281.9132011314,-1
1162,4358,-0.5392381892579579,-18.62886089019578,-178.45950931056797,4.0,1.0,-1.0,52.04476702822285,-19866021.70366989,-2111288.6516074366,-1
1171,4367,-3.302023545755219,-18.62890525807237,-178.4595134965662,4.0,1.0,-1.0,52.044639131563606,-19866022.16965308,-2111293.8636909463,-1
1186,4383,-3.001514042900908,-18.629013458790396,-178.45952426849746,4.0,1.0,-1.0,52.04432753124093,-19866023.368778985,-2111306.5744960345,-1
1386,4590,-2.7076352207211585,-18.62981566798143,-178.45960475784324,4.0,1.0,-1.0,52.042030727644494,-19866032.32881197,-2111400.8137225513,-1
1419,4624,-2.8910699750556432,-18.62997507922069,-178.45962138837768,4.0,1.0,-1.0,52.04157713593031,-19866034.180114597,-2111419.540551604,-1
1437,4643,-2.6311660089686484,-18.63005164005983,-178.4596294553864,4.0,1.0,-1.0,52.04135962043802,-19866035.0781299,-2111428.5345394094,-1
1532,4743,-0.5052891388711487,-18.630517608108025,-178.45967910955943,4.0,1.0,-1.0,52.040040415548894,-19866040.60560716,-2111483.274242888,-1
1569,4781,-0.5607502422235484,-18.630677170489236,-178.45969615784526,4.0,1.0,-1.0,52.03959051258062,-19866042.503413655,-2111502.0189047623,-1
1577,4789,-0.5082345582177368,-18.630709087753786,-178.45969957466068,4.0,1.0,-1.0,52.03950063084631,-19866042.883771807,-2111505.768401757,-1
1586,4798,-0.5017356035409648,-18.63074100117121,-178.45970298710102,4.0,1.0,-1.0,52.03941079739707,-19866043.26364293,-2111509.517447513,-1
1740,4955,-3.126851998493521,-18.631404413716627,-178.4597731312477,4.0,1.0,-1.0,52.03755183051089,-19866051.072053615,-2111587.4523500423,-1
1760,4976,-0.5039051149929037,-18.631493866248626,-178.45978274229049,4.0,1.0,-1.0,52.037302411217745,-19866052.141950008,-2111597.960878791,-1
1777,4994,-3.116586168057893,-18.63155108695945,-178.4597885221809,4.0,1.0,-1.0,52.037143017778355,-19866052.785364464,-2111604.682943898,-1
1813,5031,-0.5387726659996588,-18.63167876989715,-178.45980209136144,4.0,1.0,-1.0,52.03678777951973,-19866054.29587873,-2111619.682643741,-1
1829,5048,-0.5370503333213037,-18.63176801866931,-178.45981140315217,4.0,1.0,-1.0,52.03653982838022,-19866055.332462538,-2111630.1672525075,-1
1835,5054,-0.5579102892131687,-18.631787141505075,-178.45981339423318,4.0,1.0,-1.0,52.036486739377324,-19866055.55410866,-2111632.4137317673,-1
1837,5056,-0.6077589340873146,-18.631793512456934,-178.4598140538256,4.0,1.0,-1.0,52.03646905526421,-19866055.62753415,-2111633.16216743,-1
1865,5084,-2.0639811212940917,-18.63188902829056,-178.4598238732889,4.0,1.0,-1.0,52.036204106956575,-19866056.720631808,-2111644.383014702,-1
1903,5125,-0.8090618846952111,-18.63209305558364,-178.4598451547435,4.0,1.0,-1.0,52.035639285794794,-19866059.0896725,-2111668.3514084793,-1
1905,5127,-1.5093653340106812,-18.63210575586313,-178.45984641229794,4.0,1.0,-1.0,52.035604177443936,-19866059.229662817,-2111669.843392662,-1
2057,5279,-1.960065543675455,-18.632711086938507,-178.45990882185544,4.0,1.0,-1.0,52.033937692674044,-19866066.177062977,-2111740.9556884547,-1
2090,5316,-0.979932030122427,-18.632825945342677,-178.45992076336884,4.0,1.0,-1.0,52.03362300671596,-19866067.50638617,-2111754.4489030805,-1
2128,5355,-0.6054254587718333,-18.63299827912614,-178.45993863279037,4.0,1.0,-1.0,52.03315176119121,-19866069.495601073,-2111774.694166886,-1
2293,5535,-0.9173788667831104,-18.63367648814457,-178.46000955994236,4.0,1.0,-1.0,52.031307808705606,-19866077.391175516,-2111854.368358328,-1
2346,5590,-1.5638534641173012,-18.633849711382965,-178.46002787755927,4.0,1.0,-1.0,52.0308395512775,-19866079.430283304,-2111874.718214583,-1
2376,5622,-0.5643482351142666,-18.63398461805828,-178.46004226165294,4.0,1.0,-1.0,52.03047563550717,-19866081.03151329,-2111890.5667460216,-1
2384,5630,-0.6433980977019473,-18.633997457851144,-178.46004361512664,4.0,1.0,-1.0,52.030441034566145,-19866081.18218129,-2111892.0751365353,-1
2392,5638,-1.712171673053717,-18.63401665686668,-178.46004555932618,4.0,1.0,-1.0,52.030389307968115,-19866081.39860859,-2111894.3305947017,-1
2407,5653,-1.4446110354065242,-18.634055213700066,-178.46004966301632,4.0,1.0,-1.0,52.030285467862996,-19866081.855429288,-2111898.8601675467,-1
2433,5680,-1.4758508076779435,-18.634138722836095,-178.46005849034827,4.0,1.0,-1.0,52.03006075097619,-19866082.838083386,-2111908.670642569,-1
2466,5716,-1.7813803116382587,-18.63433145453776,-178.4600787752437,4.0,1.0,-1.0,52.02954310309906,-19866085.096187614,-2111931.312369831,-1
2499,5750,-0.5454074014635353,-18.634466463129343,-178.46009303298743,4.0,1.0,-1.0,52.02918130416492,-19866086.683352392,-2111947.1729191346,-1
2592,5845,-3.5925078587920325,-18.634806642940518,-178.4601281452092,4.0,1.0,-1.0,52.02827265490305,-19866090.59202704,-2111987.1366440267,-1
2613,5866,-0.5411642994074555,-18.634896703848703,-178.4601375922439,4.0,1.0,-1.0,52.028032806924784,-19866091.64366613,-2111997.716854248,-1
2704,5958,-1.342029685587022,-18.635204450691052,-178.4601687259743,4.0,1.0,-1.0,52.027215473930475,-19866095.109457146,-2112033.8704991993,-1
3248,6526,-0.6665709097017043,-18.637398309237703,-178.46039481269932,4.0,1.0,-1.0,52.021489789595755,-19866120.27731625,-2112291.6036616047,-1
3307,6586,-2.5633790157532985,-18.637622119372658,-178.46041851070382,4.0,1.0,-1.0,52.020915622485525,-19866122.915366042,-2112317.896926678,-1
