,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
81,-0.610647395611295,-18.628951260587304,-178.52107007204853,4.0,1.0,-1.0,52.14039129066532,-19872874.61629075,-2111299.267803828,-1
84,-0.5002183397365343,-18.629606139937408,-178.52113681493026,4.0,1.0,-1.0,52.139278342956004,-19872882.04607436,-2111376.1994505506,-1
89,-1.7502121646595015,-18.63003324166829,-178.5211824936648,4.0,1.0,-1.0,52.13855548956553,-19872887.13100783,-2111426.373187219,-1
92,-0.7472168486876853,-18.63010386153633,-178.5211901938286,4.0,1.0,-1.0,52.138436195792565,-19872887.988186143,-2111434.669261887,-1
94,-0.794796122957905,-18.630110272981533,-178.52119090818653,4.0,1.0,-1.0,52.13842536853372,-19872888.067708105,-2111435.4224470975,-1
100,-0.7656920808005907,-18.63020654022389,-178.5212015915075,4.0,1.0,-1.0,52.13826286229141,-19872889.256969955,-2111446.7314551054,-1
104,-0.9993084451919003,-18.631080178436164,-178.5212989218343,4.0,0.0,-1.0,52.13679358447462,-19872900.09173237,-2111549.362521368,-1
114,-0.9787844710159561,-18.63299390058611,-178.52149273531137,4.0,1.0,-1.0,52.133609651540155,-19872921.66694995,-2111774.1797886807,-1
117,-1.1327369205372406,-18.63308337454584,-178.5215015452833,4.0,1.0,-1.0,52.13346195117856,-19872922.647671536,-2111784.69093299,-1
119,-1.6384225703129687,-18.633268569993366,-178.52151999669948,4.0,1.0,-1.0,52.133156566732396,-19872924.701673795,-2111806.447180878,-1
120,-1.5810797758740591,-18.6332749581521,-178.52152063125095,4.0,1.0,-1.0,52.13314604068364,-19872924.772311736,-2111807.1976444833,-1
121,-1.8493078145801292,-18.633287704593254,-178.52152193563418,4.0,1.0,-1.0,52.1331250393946,-19872924.917515013,-2111808.6950619896,-1
122,-1.5529887792154113,-18.63328772684147,-178.52152190912344,4.0,1.0,-1.0,52.13312500273969,-19872924.914563853,-2111808.6976756505,-1
128,-2.4360025060229873,-18.633708279035186,-178.52156507610795,4.0,1.0,-1.0,52.13243327300461,-19872929.719890587,-2111858.103075397,-1
133,-2.4693645620698135,-18.6338735952362,-178.5215825028355,4.0,1.0,-1.0,52.132161986080064,-19872931.659825027,-2111877.5240347865,-1
138,-2.940905097859968,-18.634038011488737,-178.52160060754633,4.0,1.0,-1.0,52.13189252712709,-19872933.675232213,-2111896.839289084,-1
139,-3.403453257211254,-18.63404430128575,-178.5216013460633,4.0,1.0,-1.0,52.13188222584222,-19872933.75744355,-2111897.5782007664,-1
142,-3.350792023883514,-18.634101229634982,-178.52160762055024,4.0,1.0,-1.0,52.13178901320862,-19872934.45591624,-2111904.2660207483,-1
143,-3.53231413771357,-18.634113866678682,-178.52160903308146,4.0,1.0,-1.0,52.13176832741692,-19872934.613158498,-2111905.750593756,-1
147,-3.8527394131485835,-18.634329038685202,-178.52163279845914,4.0,1.0,-1.0,52.1314164261903,-19872937.25870824,-2111931.0285602403,-1
149,-4.601279150116511,-18.634386011025413,-178.52163913241188,4.0,1.0,-1.0,52.131323351685296,-19872937.96380063,-2111937.721559404,-1
152,-3.9840526275565935,-18.634468497473314,-178.5216481032687,4.0,1.0,-1.0,52.13118866983132,-19872938.96243184,-2111947.411910042,-1
156,-5.116256732642682,-18.634557297970936,-178.52165787993297,4.0,1.0,-1.0,52.1310437770685,-19872940.05076513,-2111957.8440284645,-1
157,-4.704249742651768,-18.634582747229437,-178.52166059730908,4.0,1.0,-1.0,52.13100227120822,-19872940.353262056,-2111960.833761346,-1
