,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
2,25764,-4.1679890686540455,26.29014381507901,-77.64196682222435,3.0,3.0,-1.0,POINT (-77.64196682222435 26.29014381507901),-32.229550465046486,236193.7991350309,2910511.2417221325,0
3,25768,-4.34333201163061,26.29015018980797,-77.64196755159648,3.0,3.0,-1.0,POINT (-77.64196755159648 26.29015018980797),-32.22951596848725,236193.7407124567,2910511.9496600274,0
5,25773,-4.167616287097727,26.29016295979626,-77.64196890598426,3.0,3.0,-1.0,POINT (-77.64196890598426 26.29016295979626),-32.22944687047493,236193.63433858677,2910513.3675979385,0
6,25774,-4.27875724260794,26.29016295514777,-77.64196892798911,3.0,3.0,-1.0,POINT (-77.64196892798911 26.29016295514777),-32.22944689562428,236193.63212987204,2910513.3671277193,0
7,25776,-4.178083386441726,26.29017572321578,-77.6419702974067,3.0,3.0,-1.0,POINT (-77.6419702974067 26.29017572321578),-32.22937781627479,236193.52425028523,2910514.7848835164,0
11,25783,-4.11223019346548,26.290188488299822,-77.6419716735944,3.0,3.0,-1.0,POINT (-77.6419716735944 26.29018848829982),-32.22930876134342,236193.41568768042,2910516.2023224575,0
12,25784,-4.114664465597588,26.290188488197952,-77.64197167407663,3.0,3.0,-1.0,POINT (-77.64197167407663 26.29018848819795),-32.22930876189275,236193.41563927644,2910516.202312152,0
13,25785,-4.372736304410703,26.29018847740415,-77.64197172517196,3.0,3.0,-1.0,POINT (-77.64197172517196 26.29018847740415),-32.229308820278675,236193.41051063692,2910516.201220301,0
16,25791,-4.088483640510248,26.29019487019153,-77.64197236349348,3.0,3.0,-1.0,POINT (-77.64197236349348 26.29019487019153),-32.2292742404934,236193.3612245855,2910516.9109735475,0
17,25796,-4.19396809529129,26.29020762618651,-77.64197377346159,3.0,3.0,-1.0,POINT (-77.64197377346159 26.29020762618651),-32.2292052471239,236193.24926695024,2910518.327474213,0
18,25797,-4.061266841642331,26.290207631736703,-77.64197374718836,3.0,3.0,-1.0,POINT (-77.64197374718836 26.2902076317367),-32.22920521710694,236193.25190409704,2910518.3280356457,0
19,25800,-4.225683383230893,26.29021400342659,-77.64197447412221,3.0,3.0,-1.0,POINT (-77.64197447412221 26.29021400342659),-32.229170757633256,236193.19371832395,2910519.0356317847,0
24,25817,-4.157780492646809,26.290239526839205,-77.6419772390144,3.0,3.0,-1.0,POINT (-77.64197723901439 26.2902395268392),-32.22903274216878,236192.97532774502,2910521.8697866173,0
27,25821,-4.196662119257684,26.29024590505361,-77.641977941296,3.0,3.0,-1.0,POINT (-77.64197794129601 26.29024590505361),-32.22899825773857,236192.91961945052,2910522.5780554805,0
28,25822,-4.1670386428399055,26.290245906292498,-77.64197793543141,3.0,3.0,-1.0,POINT (-77.64197793543141 26.2902459062925),-32.22899825104105,236192.92020810314,2910522.5781808007,0
32,25832,-4.202202239645104,26.2902650436884,-77.64198002615659,3.0,3.0,-1.0,POINT (-77.64198002615659 26.2902650436884),-32.228894795254746,236192.75469980022,2910524.7032595393,0
33,25834,-4.25763924515455,26.290277800112417,-77.64198142632537,3.0,3.0,-1.0,POINT (-77.64198142632537 26.29027780011242),-32.228825845002575,236192.64372228226,2910526.1197877736,0
34,25835,-4.235819922640746,26.290277801024985,-77.6419814220055,3.0,3.0,-1.0,POINT (-77.6419814220055 26.29027780102498),-32.22882584006948,236192.64415588533,2910526.119880084,0
35,25839,-4.24915560647519,26.29028417970115,-77.64198211924987,3.0,3.0,-1.0,POINT (-77.64198211924987 26.29028417970115),-32.228791365530924,236192.58895189886,2910526.8281898433,0
36,25840,-4.235168289948529,26.29028418028621,-77.64198211648035,3.0,3.0,-1.0,POINT (-77.64198211648035 26.29028418028621),-32.22879136236952,236192.58922988677,2910526.8282490256,0
37,25841,-4.340933793287772,26.29028417586247,-77.6419821374211,3.0,2.0,-1.0,POINT (-77.6419821374211 26.29028417586247),-32.22879138627832,236192.58712798316,2910526.82780154,0
38,25843,-4.1966991945535135,26.29029693915949,-77.6419834979876,3.0,3.0,-1.0,POINT (-77.6419834979876 26.29029693915949),-32.22872241127334,236192.4801221842,2910528.245010595,0
40,25849,-4.294515813736895,26.29030331405768,-77.64198421197946,3.0,3.0,-1.0,POINT (-77.64198421197946 26.29030331405768),-32.2286879633466,236192.42323667638,2910528.952935875,0
42,25852,-4.264781027767202,26.29030969421805,-77.64198490072533,3.0,3.0,-1.0,POINT (-77.64198490072533 26.29030969421805),-32.228653489051794,236192.36888505658,2910529.661392768,0
43,25853,-4.404108292192563,26.29030968839066,-77.64198492831039,3.0,2.0,-1.0,POINT (-77.64198492831039 26.29030968839066),-32.2286535205385,236192.3661162387,2910529.6608032957,0
45,25859,-4.308035414797141,26.29031607220759,-77.64198560403456,3.0,3.0,-1.0,POINT (-77.64198560403456 26.29031607220759),-32.2286190285522,236192.31307371915,2910530.3696388244,0
46,25861,-4.170970016345425,26.290335213165203,-77.64198766078277,3.0,3.0,-1.0,POINT (-77.64198766078277 26.2903352131652),-32.22851562168944,236192.15096798312,2910532.495042947,0
49,25867,-4.296605374765899,26.290347965095105,-77.6419890750433,3.0,3.0,-1.0,POINT (-77.6419890750433 26.2903479650951),-32.22844674114458,236192.03857282776,2910533.911101944,0
51,25869,-4.257481639216434,26.290354345256755,-77.64198976201027,3.0,3.0,-1.0,POINT (-77.64198976201027 26.29035434525676),-32.22841228130346,236191.98439899,2910534.619555356,0
52,25873,-4.3642944659475615,26.290360719275256,-77.64199047788556,3.0,2.0,-1.0,POINT (-77.64199047788556 26.29036071927526),-32.228377856703446,236191.92732344457,2910535.3273870065,0
56,25879,-4.311754460313588,26.29037347841668,-77.64199185699256,3.0,3.0,-1.0,POINT (-77.64199185699256 26.29037347841668),-32.228308953734086,236191.81845638226,2910536.744173424,0
57,25885,-4.267244203721703,26.290386237041368,-77.64199323774741,3.0,3.0,-1.0,POINT (-77.64199323774741 26.29038623704137),-32.22824006181327,236191.70942358067,2910538.1609059456,0
58,25886,-4.099393620171671,26.290386244061896,-77.64199320451473,3.0,3.0,-1.0,POINT (-77.64199320451473 26.2903862440619),-32.22824002390553,236191.71275927004,2910538.1616161107,0
59,25889,-4.375201743033964,26.290392610876943,-77.64199395393288,3.0,2.0,-1.0,POINT (-77.64199395393288 26.29039261087695),-32.22820564852009,236191.65231668908,2910538.8687179647,0
63,25897,-4.300970590575826,26.29041174896122,-77.64199602378412,3.0,3.0,-1.0,POINT (-77.64199602378412 26.29041174896122),-32.22810233152995,236191.4888959045,2910540.993830464,0
