,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
1,18751,-2.533947743448422,26.566335882665527,-77.74248583029107,4.0,4.0,-1.0,POINT (-77.74248583029107 26.56633588266553),-32.01955666377171,226804.75566493627,2941330.04310245,0
4,18754,-2.659073027133961,26.56632945590848,-77.74248650859755,4.0,4.0,-1.0,POINT (-77.74248650859755 26.56632945590848),-32.0195455262201,226804.67280421115,2941329.332279066,0
6,18756,-2.2351806945509685,26.566323055381204,-77.74248735715548,4.0,4.0,-1.0,POINT (-77.74248735715548 26.5663230553812),-32.0195344343465,226804.5730381779,2941328.624726211,0
8,18758,-2.784395828753548,26.566316608395624,-77.74248790374152,4.0,4.0,-1.0,POINT (-77.74248790374152 26.56631660839562),-32.0195232621852,226804.50325692393,2941327.911379679,0
9,18759,-2.527568688226475,26.56631019992713,-77.74248870031687,4.0,4.0,-1.0,POINT (-77.74248870031687 26.56631019992713),-32.01951215699387,226804.40865270793,2941327.202835719,0
10,18760,-3.2515503495163296,26.566310165350774,-77.74248847570927,4.0,4.0,-1.0,POINT (-77.74248847570927 26.56631016535078),-32.01951209707727,226804.43095543346,2941327.198524089,0
11,18761,-2.5050862489284693,26.56630378029455,-77.74248942411232,4.0,4.0,-1.0,POINT (-77.74248942411232 26.56630378029455),-32.01950103267791,226804.32127536368,2941326.492899059,0
13,18763,-2.6538238342177127,26.56627809172022,-77.74249224435441,4.0,4.0,-1.0,POINT (-77.74249224435441 26.56627809172022),-32.01945652023392,226803.97921072604,2941323.651879249,0
21,18771,-2.648744995072641,26.56623957017168,-77.7424965432403,4.0,4.0,-1.0,POINT (-77.74249654324031 26.56623957017168),-32.01938977783834,226803.45931138413,2941319.3917496554,0
25,18775,-2.6528719696006706,26.56622031025647,-77.74249868948621,4.0,4.0,-1.0,POINT (-77.74249868948621 26.56622031025647),-32.01935641112914,226803.19968231593,2941317.2617732463,0
27,18777,-2.6137144803680887,26.566213892433904,-77.74249941730571,4.0,4.0,-1.0,POINT (-77.74249941730571 26.5662138924339),-32.019345293060496,226803.11190815864,2941316.552045786,0
28,18778,-2.552659677540283,26.56620747577344,-77.74250015183246,4.0,4.0,-1.0,POINT (-77.74250015183246 26.56620747577344),-32.01933417722694,226803.02346829872,2941315.8424614407,0
31,18781,-2.7074140098145425,26.56620104892785,-77.74250081931982,4.0,4.0,-1.0,POINT (-77.74250081931982 26.56620104892785),-32.01932304397155,226802.94168553193,2941315.1316051516,0
32,18782,-2.6843104644025133,26.56619463070443,-77.74250154189811,4.0,4.0,-1.0,POINT (-77.74250154189811 26.56619463070443),-32.019311925874945,226802.85443275847,2941314.4218220753,0
34,18784,-2.5096024214854675,26.56618821985508,-77.7425023114222,4.0,4.0,-1.0,POINT (-77.7425023114222 26.56618821985508),-32.01930082077365,226802.76251877734,2941313.7129564956,0
35,18785,-3.066034026676276,26.56618177422521,-77.74250285403029,4.0,4.0,-1.0,POINT (-77.74250285403029 26.56618177422521),-32.01928965564821,226802.69313711516,2941312.99975173,0
36,18786,-2.969854713383908,26.56616894108407,-77.74250431407619,4.0,4.0,-1.0,POINT (-77.74250431407619 26.56616894108407),-32.01926742673686,226802.5171554889,2941311.5805837377,0
37,18787,-2.3739979989313564,26.56616255093873,-77.7425052139002,4.0,4.0,-1.0,POINT (-77.7425052139002 26.56616255093873),-32.01925635838461,226802.41230469075,2941310.8742909734,0
