,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
28,184,-0.9831411299838017,9.65932741971698,138.16861262382557,4.0,4.0,-1.0,POINT (138.1686126238256 9.659327419716981),62.00562859532511,847789.7824493991,1069361.7511279432,0
34,193,-0.865880209710021,9.659263489668769,138.16860596708963,4.0,4.0,-1.0,POINT (138.1686059670896 9.659263489668767),62.00694732658303,847789.1168424233,1069354.665864501,0
36,195,-0.6476758810400121,9.659250719781369,138.16860463090842,4.0,4.0,-1.0,POINT (138.1686046309084 9.659250719781369),62.007210641117126,847788.9831732591,1069353.2505919824,0
37,196,-1.0531809849523128,9.659225120009673,138.1686019761096,4.0,4.0,-1.0,POINT (138.1686019761096 9.659225120009673),62.00773840788679,847788.7178262209,1069350.4134218998,0
38,197,-1.162691445596597,9.659218720241975,138.16860131249865,4.0,4.0,-1.0,POINT (138.1686013124987 9.659218720241975),62.00787032523476,847788.6514990142,1069349.7041488746,0
40,199,-1.0759976529183497,9.659212334426917,138.1686006445406,4.0,4.0,-1.0,POINT (138.1686006445406 9.659212334426915),62.00800194671319,847788.5846798457,1069348.9964162798,0
44,204,-1.0590333368202296,9.65917398932986,138.16859664698742,4.0,4.0,-1.0,POINT (138.1685966469874 9.65917398932986),62.00879212456493,847788.1849158709,1069344.746686589,0
45,205,-0.829547245042058,9.659167614793624,138.16859597557817,4.0,4.0,-1.0,POINT (138.1685959755782 9.659167614793624),62.00892345584907,847788.117705881,1069344.0401992954,0
46,206,-1.0704444291647348,9.659161206988436,138.16859531438834,4.0,4.0,-1.0,POINT (138.1685953143883 9.659161206988435),62.00905546426293,847788.0516528785,1069343.3300388232,0
48,208,-0.815807894338272,9.65912927321914,138.16859197581667,4.0,4.0,-1.0,POINT (138.1685919758167 9.65912927321914),62.00971321397628,847787.7176953648,1069339.7908574275,0
49,209,-0.9643460272278868,9.65912926259058,138.16859197905083,4.0,4.0,-1.0,POINT (138.1685919790508 9.659129262590579),62.00971343286256,847787.7180616251,1069339.7896839115,0
72,237,-0.4582509471556063,9.658829136530487,138.16856058914016,4.0,4.0,-1.0,POINT (138.1685605891402 9.658829136530489),62.015885132694166,847784.577993455,1069306.5270606978,1
73,238,-0.4684002590842459,9.658829135804291,138.1685605893611,4.0,4.0,-1.0,POINT (138.1685605893611 9.658829135804293),62.01588514760442,847784.5780184781,1069306.5269805174,1
75,240,-0.5217762429974059,9.658809982448306,138.16855858511985,4.0,4.0,-1.0,POINT (138.1685585851198 9.658809982448306),62.01627839225512,847784.3775151268,1069304.4042353432,1
78,244,-0.5034645309251176,9.65878445331603,138.16855591057043,4.0,4.0,-1.0,POINT (138.1685559105704 9.658784453316031),62.016802424856,847784.1099235488,1069301.5748667803,1
79,245,-0.6938671861981577,9.658784439435491,138.1685559146908,4.0,4.0,-1.0,POINT (138.1685559146908 9.658784439435493),62.01680270974248,847784.110390521,1069301.5733341025,1
80,246,-0.4753301268225048,9.65875254725888,138.16855256701555,4.0,4.0,-1.0,POINT (138.1685525670156 9.65875254725888),62.01745717010817,847783.7753879654,1069298.0387489982,1
82,249,-0.4193027022468215,9.658733406460886,138.16855055965087,4.0,4.0,-1.0,POINT (138.1685505596509 9.658733406460886),62.01784986014536,847783.5745282851,1069295.9173911267,1
83,250,-0.412488165135097,9.658727025725169,138.1685498907673,4.0,4.0,-1.0,POINT (138.1685498907673 9.658727025725169),62.01798074997532,847783.507601674,1069295.2102200733,1
86,254,-0.4645062855317306,9.658695115986204,138.16854654781815,4.0,4.0,-1.0,POINT (138.1685465478182 9.658695115986204),62.01863519975814,847783.1731361104,1069291.673695305,1
91,259,-0.4477887668086011,9.658656833674115,138.16854253410844,4.0,4.0,-1.0,POINT (138.1685425341084 9.658656833674115),62.019420075206654,847782.7715290682,1069287.43090139,1
93,262,-0.6310481355054574,9.658650440549454,138.16854186918837,4.0,4.0,-1.0,POINT (138.1685418691883 9.658650440549454),62.01955112005453,847782.7050505739,1069286.7223626655,1
110,279,-0.7472031538109324,9.658573876192005,138.16853384384322,4.0,4.0,-1.0,POINT (138.1685338438432 9.658573876192005),62.02111987623539,847781.9020632646,1069278.2368066278,2
111,280,-1.255218815188878,9.658561081802178,138.1685325168608,4.0,1.0,-1.0,POINT (138.1685325168608 9.658561081802178),62.02138190960795,847781.7694284273,1069276.8188307933,2
113,282,-0.4596627231692396,9.658554760184805,138.16853183055568,4.0,4.0,-1.0,POINT (138.1685318305557 9.658554760184805),62.02151136620705,847781.7005267672,1069276.1181877016,2
114,283,-0.6007754804142544,9.65855475008818,138.16853183362736,4.0,4.0,-1.0,POINT (138.1685318336274 9.658554750088181),62.0215115729643,847781.700874628,1069276.1170729166,2
120,291,-0.4627616271417968,9.658510111075612,138.16852714760532,4.0,4.0,-1.0,POINT (138.1685271476053 9.658510111075612),62.02242547807509,847781.2319383826,1069271.1697658796,2
121,292,-0.5526716826891184,9.658503725628904,138.16852648047484,4.0,4.0,-1.0,POINT (138.1685264804748 9.658503725628904),62.02255617586161,847781.1652089783,1069270.462075046,2
122,293,-0.6187124589511059,9.658497342419322,138.1685258128773,4.0,4.0,-1.0,POINT (138.1685258128773 9.658497342419322),62.02268681960595,847781.0984259518,1069269.7546314362,2
126,297,-1.5784202839013923,9.658478138566956,138.16852382668438,4.0,1.0,-1.0,POINT (138.1685238266844 9.658478138566956),62.02307981088052,847780.8999563574,1069267.6263137998,2
131,302,-1.1237362008722571,9.658459036864484,138.16852180979973,4.0,4.0,-1.0,POINT (138.1685218097997 9.658459036864484),62.02347063766865,847780.6980096307,1069265.5092751065,2
132,303,-0.5236093903782523,9.658459080059638,138.16852179676167,4.0,4.0,-1.0,POINT (138.1685217967617 9.658459080059638),62.0234697539654,847780.69653275,1069265.5140444601,2
134,305,-0.6961176306895184,9.658452689301267,138.16852113149264,4.0,4.0,-1.0,POINT (138.1685211314926 9.658452689301267),62.02360049443814,847780.6300132634,1069264.8057674172,2
