,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
0,118,-0.5058415222475732,9.661563414209516,138.16496332500017,4.0,4.0,-1.0,POINT (138.1649633250002 9.661563414209516),63.22547183473216,847386.5471968967,1069605.602230852,0
1,119,-0.5364361543170293,9.661556978750244,138.16496265878055,4.0,4.0,-1.0,POINT (138.1649626587806 9.661556978750243),63.22553928425077,847386.4806144906,1069604.8890062557,0
4,122,-0.4965279100555874,9.661544106273062,138.1649613280608,4.0,4.0,-1.0,POINT (138.1649613280608 9.661544106273062),63.22567418652852,847386.3476401716,1069603.4623862442,0
7,125,-0.534140345988495,9.661531237054186,138.16495999555636,4.0,4.0,-1.0,POINT (138.1649599955564 9.661531237054186),63.22580903720791,847386.2144663982,1069602.0361251833,0
9,127,-0.5134295647922507,9.661511935210685,138.1649579979081,4.0,4.0,-1.0,POINT (138.1649579979081 9.661511935210685),63.22601125971414,847386.0148254236,1069599.8969544931,0
10,128,-0.6588629155005298,9.661499073615044,138.1649566628091,4.0,4.0,-1.0,POINT (138.1649566628091 9.661499073615044),63.22614598692144,847385.8813586903,1069598.4715348568,0
11,129,-0.5875262809739648,9.66148620588278,138.16495533141693,4.0,4.0,-1.0,POINT (138.1649553314169 9.661486205882779),63.22628076096953,847385.7483054945,1069597.0454395472,0
12,130,-0.6493848008770375,9.661479776081338,138.1649546638666,4.0,4.0,-1.0,POINT (138.1649546638666 9.661479776081338),63.226348098883136,847385.6815709912,1069596.3328400531,0
14,132,-6.879750485296234,9.661479995510073,138.16495455047996,4.0,1.0,-1.0,POINT (138.16495455048 9.661479995510073),63.22634580092563,847385.66888816,1069596.3570199804,1
16,134,-0.456812620360288,9.661460475668823,138.16495266777545,4.0,4.0,-1.0,POINT (138.1649526677755 9.661460475668825),63.22655020174989,847385.482099448,1069594.193829421,0
19,137,-7.227050916444599,9.66145428487948,138.16495187805086,4.0,1.0,-1.0,POINT (138.1649518780509 9.661454284879479),63.22661501983657,847385.4016964973,1069593.5075692036,1
21,139,-6.579341435928283,9.661447831905589,138.16495122314416,4.0,1.0,-1.0,POINT (138.1649512231442 9.661447831905589),63.22668257871919,847385.3363748756,1069592.7924169125,1
22,140,-0.4714616463699055,9.661434758203477,138.16495000082872,4.0,4.0,-1.0,POINT (138.1649500008287 9.661434758203475),63.22681943932548,847385.215517052,1069591.3436274917,0
27,145,-6.901912632207708,9.661409272573948,138.16494721636352,4.0,1.0,-1.0,POINT (138.1649472163635 9.661409272573948),63.22708618105298,847384.9357850119,1069588.518975031,1
30,148,-6.708878936465524,9.66139641229133,138.16494588594048,4.0,1.0,-1.0,POINT (138.1649458859405 9.66139641229133),63.22722075539696,847384.8028304366,1069587.093705581,1
34,152,-6.435819560443335,9.66137712581375,138.1649438897802,4.0,1.0,-1.0,POINT (138.1649438897802 9.66137712581375),63.22742254295554,847384.6033367026,1069584.9562378253,1
43,161,-6.189927659089625,9.661344998281956,138.16494055855728,4.0,1.0,-1.0,POINT (138.1649405585573 9.661344998281956),63.22775859487774,847384.2703587213,1069581.3956249214,1
48,166,-6.62784706859378,9.661319328222412,138.16493788183269,4.0,1.0,-1.0,POINT (138.1649378818327 9.661319328222413),63.22802702389163,847384.0026528465,1069578.5506619634,1
49,167,-6.627887724174123,9.661312907774205,138.1649372145856,4.0,1.0,-1.0,POINT (138.1649372145856 9.661312907774203),63.22809415096435,847383.9359418617,1069577.8390984163,1
105,227,-4.625234305963482,9.660928567865671,138.16489726374286,4.0,1.0,-1.0,POINT (138.1648972637429 9.660928567865673),63.23210458966332,847379.9415853496,1069535.243581805,2
111,233,-4.682193040534887,9.660877480491392,138.16489194843075,4.0,1.0,-1.0,POINT (138.1648919484307 9.660877480491393),63.232636494802136,847379.4101001088,1069529.5816797563,2
112,234,-4.886916492800102,9.660864723733642,138.16489061745676,4.0,1.0,-1.0,POINT (138.1648906174568 9.660864723733642),63.232769271112375,847379.2769774594,1069528.1678723963,2
114,236,-4.583173989488797,9.66085833030392,138.1648899593625,4.0,1.0,-1.0,POINT (138.1648899593625 9.66085833030392),63.232835809471,847379.2112438031,1069527.459309799,2
120,242,-5.2462959123442126,9.660826447762211,138.16488663081117,4.0,1.0,-1.0,POINT (138.1648866308112 9.660826447762211),63.23316755644464,847378.8783047632,1069523.9258258312,2
