,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
162,251,-4.186148740378303,9.418744390634243,138.0344125628957,2.0,1.0,-1.0,POINT (138.0344125628957 9.418744390634243),63.57660965880496,833280.4611902048,1042593.1904923792,0
163,252,-4.371209117978823,9.418744402769542,138.03441255725664,2.0,1.0,-1.0,POINT (138.0344125572566 9.418744402769542),63.57660960525391,833280.4605586382,1042593.191830472,0
166,257,-4.017759395084799,9.418750826820704,138.03441191393622,2.0,1.0,-1.0,POINT (138.0344119139362 9.418750826820705),63.57658132776851,833280.3836677229,1042593.902408683,0
167,258,-4.149845111721458,9.418750835482228,138.03441190991134,2.0,1.0,-1.0,POINT (138.0344119099113 9.418750835482228),63.5765812897298,833280.3832169436,1042593.9033637416,0
168,259,-3.602755009985984,9.418750799093436,138.03441192663158,2.0,1.0,-1.0,POINT (138.0344119266316 9.418750799093436),63.57658144950983,833280.3850899717,1042593.8993511691,0
174,266,-4.445503972096803,9.418763749095143,138.0344105938479,2.0,1.0,-1.0,POINT (138.0344105938479 9.418763749095145),63.57652487122687,833280.2261377176,1042595.3317446272,0
179,273,-3.706564213809688,9.418776593786182,138.03440931089935,2.0,1.0,-1.0,POINT (138.0344093108993 9.418776593786182),63.57646931620548,833280.0727650495,1042596.7525269116,0
180,274,-3.407260163861928,9.41877657364591,138.03440932006907,2.0,1.0,-1.0,POINT (138.0344093200691 9.418776573645911),63.57646940287668,833280.0737924362,1042596.7503059742,0
182,276,-3.547217867060466,9.418795918133451,138.03440736084525,2.0,1.0,-1.0,POINT (138.0344073608453 9.418795918133451),63.576386792439735,833279.8398333135,1042598.8900206255,0
190,292,-3.068003085338716,9.418847426845952,138.03440218087343,2.0,1.0,-1.0,POINT (138.0344021808734 9.418847426845952),63.5761730283848,833279.2209215055,1042604.5874900641,0
191,293,-3.220933303017948,9.41884743687462,138.03440217621338,2.0,1.0,-1.0,POINT (138.0344021762134 9.418847436874621),63.57617298763944,833279.2203995881,1042604.5885958701,0
195,305,-3.6528929016114815,9.4188667873574,138.03440022189884,2.0,1.0,-1.0,POINT (138.0344002218988 9.4188667873574),63.57609501335537,833278.9869743421,1042606.7289789061,0
198,310,-3.8748942580731183,9.41887324136721,138.0343995689743,2.0,1.0,-1.0,POINT (138.0343995689743 9.41887324136721),63.57606928949826,833278.9089988292,1042607.4428646008,0
