,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
16,26,-0.4047346317636551,9.440306514358468,138.07434347081946,4.0,4.0,-1.0,POINT (138.0743434708195 9.440306514358468),63.40371597654303,837649.1983787323,1045018.7014441674,0
28,45,-0.4035971137360717,9.440357932919207,138.074338391485,4.0,4.0,-1.0,POINT (138.074338391485 9.440357932919207),63.40442011660707,837648.5898654737,1045024.3891608719,0
29,46,-0.4231353494356898,9.440357932482028,138.07433839364057,4.0,4.0,-1.0,POINT (138.0743383936405 9.440357932482028),63.4044201106226,837648.5901028565,1045024.3891145587,0
32,52,-0.7169559288707847,9.440383629829856,138.07433588806902,4.0,2.0,-1.0,POINT (138.074335888069 9.440383629829856),63.40477180569542,837648.2896059116,1045027.2316848462,0
34,54,-0.4283667083975602,9.440390061654112,138.07433522186884,4.0,4.0,-1.0,POINT (138.0743352218688 9.440390061654112),63.40485980987432,837648.2100984124,1045027.9431177984,0
41,65,-0.4961116448897654,9.440409332836518,138.07433332673912,4.0,2.0,-1.0,POINT (138.0743333267391 9.440409332836518),63.40512343717637,837647.9829739907,1045030.0748276276,0
43,67,-0.4865250523253805,9.440415757424788,138.07433269150062,4.0,4.0,-1.0,POINT (138.0743326915006 9.440415757424788),63.40521130709567,837647.9068771147,1045030.7854894534,0
46,74,-0.4126502752476015,9.440422183270147,138.07433204919653,4.0,4.0,-1.0,POINT (138.0743320491965 9.440422183270147),63.40529918539323,837647.8300023009,1045031.4962836105,0
49,78,-0.6879152657010447,9.44042860098427,138.07433144545664,4.0,2.0,-1.0,POINT (138.0743314454566 9.440428600984269),63.405386943690246,837647.7573747217,1045032.2062148907,0
50,79,-0.4470588139575693,9.44042860637404,138.0743314188817,4.0,4.0,-1.0,POINT (138.0743314188817 9.44042860637404),63.40538701738842,837647.7544481219,1045032.2067858652,0
51,81,-0.4930788672702642,9.440435028010024,138.07433078997306,4.0,4.0,-1.0,POINT (138.0743307899731 9.440435028010024),63.40547482050533,837647.67904995,1045032.917126967,0
52,82,-0.4463598524543526,9.44044145338422,138.07433015066985,4.0,4.0,-1.0,POINT (138.0743301506699 9.440441453384221),63.40556266592285,837647.6025054748,1045033.6278718655,0
53,83,-0.4881268350111282,9.440441452449605,138.07433015527812,4.0,4.0,-1.0,POINT (138.0743301552781 9.440441452449603),63.40556265314626,837647.6030129665,1045033.6277728553,0
54,86,-0.6924330486861701,9.440447870997431,138.0743295437901,4.0,3.0,-1.0,POINT (138.0743295437901 9.440447870997431),63.40565039643661,837647.5295328279,1045034.3377889316,0
55,87,-0.4139874267070738,9.440447877228229,138.07432951306808,4.0,4.0,-1.0,POINT (138.0743295130681 9.440447877228229),63.40565048160897,837647.5261495247,1045034.3384490017,0
56,88,-0.575498866524091,9.440447873614056,138.0743295308884,4.0,3.0,-1.0,POINT (138.0743295308884 9.440447873614056),63.4056504322034,837647.5281120108,1045034.3380661283,0
60,95,-0.4602024588709557,9.440460721675434,138.0743282501655,4.0,4.0,-1.0,POINT (138.0743282501655 9.440460721675434),63.405826042255285,837647.3747930101,1045035.7592563896,0
64,101,-0.5265907088381291,9.440473563700325,138.07432698964047,4.0,3.0,-1.0,POINT (138.0743269896405 9.440473563700323),63.40600153458036,837647.2237002094,1045037.179797899,0
71,108,-0.4112580260627069,9.440479988133443,138.07432634295645,4.0,4.0,-1.0,POINT (138.0743263429564 9.440479988133443),63.40608931427232,837647.1463452801,1045037.8904314585,0
72,109,-0.5797157709151012,9.440486405961312,138.07432572758913,4.0,3.0,-1.0,POINT (138.0743257275891 9.440486405961312),63.40617699491668,837647.0724393872,1045038.6003640671,0
74,111,-0.6006410403195692,9.440486405493084,138.07432572989788,4.0,3.0,-1.0,POINT (138.0743257298979 9.440486405493084),63.40617698851929,837647.0726936415,1045038.6003144648,0
75,112,-0.5315205277647349,9.440486407039767,138.0743257222715,4.0,3.0,-1.0,POINT (138.0743257222715 9.440486407039767),63.40617700964867,837647.0718537788,1045038.6004783153,0
77,116,-0.489257764861,9.440492829327573,138.07432508365605,4.0,4.0,-1.0,POINT (138.074325083656 9.440492829327571),63.40626474242163,837646.995387903,1045039.3108821762,0
78,117,-0.4097512108279956,9.440492831106669,138.07432507488372,4.0,4.0,-1.0,POINT (138.0743250748837 9.440492831106669),63.406264766723325,837646.9944218394,1045039.3110706474,0
79,118,-0.4221147278885452,9.440499251916345,138.07432444229383,4.0,4.0,-1.0,POINT (138.0743244422938 9.440499251916343),63.40635247049795,837646.9186197831,1045040.0213166974,0
80,119,-0.6662410141502679,9.440499246453616,138.0743244692294,4.0,3.0,-1.0,POINT (138.0743244692294 9.440499246453617),63.406352395883005,837646.9215860991,1045040.0207379945,0
81,122,-0.4614529776402969,9.440505671866248,138.0743238126755,4.0,4.0,-1.0,POINT (138.0743238126755 9.440505671866248),63.40644015372527,837646.8431452252,1045040.7314704374,0
84,127,-0.4161459551946789,9.440512093453709,138.07432317370976,4.0,4.0,-1.0,POINT (138.0743231737098 9.440512093453707),63.4065278505168,837646.7666415233,1045041.4417964212,0
86,129,-0.4194603037716914,9.440518513696226,138.07432254009774,4.0,4.0,-1.0,POINT (138.0743225400977 9.440518513696226),63.40661552013808,837646.6907276574,1045042.1519786887,0
87,130,-0.4263592645490421,9.440518513541823,138.07432254085907,4.0,4.0,-1.0,POINT (138.0743225408591 9.440518513541825),63.40661551802987,837646.690811499,1045042.151962332,0
92,135,-0.4350685524716194,9.440524933406342,138.07432190782802,4.0,4.0,-1.0,POINT (138.074321907828 9.440524933406342),63.4067031736904,837646.6149618657,1045042.8621033124,0
94,139,-0.4025094011038759,9.440531353936631,138.0743212702263,4.0,4.0,-1.0,POINT (138.0743212702263 9.440531353936631),63.40679082964016,837646.5386091326,1045043.5723135747,0
99,148,-0.4778128203635596,9.440550610107708,138.0743193763717,4.0,4.0,-1.0,POINT (138.0743193763717 9.440550610107708),63.40705367071314,837646.3116394192,1045045.7023626768,0
103,155,-0.5266038731690158,9.440563445336345,138.07431811359663,4.0,3.0,-1.0,POINT (138.0743181135966 9.440563445336343),63.407228823836704,837646.1603058579,1045047.1221495687,0
108,160,-0.4351678911684082,9.440582702307646,138.07431620075573,4.0,4.0,-1.0,POINT (138.0743162007557 9.440582702307646),63.40749154388504,837645.9312482043,1045049.2522688706,0
110,163,-0.4032603974809159,9.440589120491332,138.0743155629292,4.0,4.0,-1.0,POINT (138.0743155629292 9.440589120491332),63.40757908863452,837645.8548730337,1045049.9622191145,0
112,165,-0.5172060512741801,9.44058911794172,138.0743155755013,4.0,3.0,-1.0,POINT (138.0743155755013 9.44058911794172),63.4075790538609,837645.8562575517,1045049.961949018,0
113,166,-0.4273077280714367,9.44059553716268,138.07431493122797,4.0,4.0,-1.0,POINT (138.074314931228 9.440595537162679),63.40766660396548,837645.7791726831,1045050.6720078561,0
114,167,-0.6084242486880791,9.440595533110058,138.07431495121142,4.0,3.0,-1.0,POINT (138.0743149512114 9.440595533110058),63.40766654869549,837645.781373383,1045050.6715785363,0
115,168,-0.5446650868337524,9.440601950596305,138.07431430985662,4.0,3.0,-1.0,POINT (138.0743143098566 9.440601950596305),63.407754066352936,837645.7046110341,1045051.3814481474,0
120,175,-0.4639718587957178,9.440608369090173,138.07431366649277,4.0,4.0,-1.0,POINT (138.0743136664928 9.440608369090171),63.40784158895804,837645.6276268472,1045052.0914273676,0
121,176,-0.4010595753500876,9.44060837049792,138.07431365955117,4.0,4.0,-1.0,POINT (138.0743136595512 9.440608370497921),63.40784160815201,837645.6268623921,1045052.0915764993,0
123,179,-0.4306856509815437,9.440614786262502,138.07431302830167,4.0,4.0,-1.0,POINT (138.0743130283017 9.440614786262502),63.40792908474759,837645.5512125804,1045052.8012652874,0
128,185,-0.449101033135048,9.440627616010396,138.074311761301,4.0,4.0,-1.0,POINT (138.074311761301 9.440627616010397),63.408103987290815,837645.3994198211,1045054.2204412954,0
129,186,-0.6258141395629834,9.440627612056334,138.07431178079867,4.0,3.0,-1.0,POINT (138.0743117807987 9.440627612056334),63.40810393339052,837645.4015670258,1045054.2200224168,0
131,190,-0.4005934149587899,9.440640448123236,138.07431048645978,4.0,4.0,-1.0,POINT (138.0743104864598 9.440640448123235),63.4082788869182,837645.2467628492,1045055.6398715354,0
132,191,-0.6734184869261658,9.440640442018632,138.07431051656198,4.0,3.0,-1.0,POINT (138.074310516562 9.440640442018633),63.40827880372308,837645.2500778907,1045055.6392248363,0
134,193,-0.4040052950393054,9.44064044804689,138.07431048683625,4.0,4.0,-1.0,POINT (138.0743104868362 9.44064044804689),63.408278885879554,837645.246804309,1045055.6398634472,0
135,194,-0.6912243231260394,9.440640441620198,138.0743105185267,4.0,3.0,-1.0,POINT (138.0743105185267 9.440640441620198),63.408278798291576,837645.2502942575,1045055.6391826279,0
137,197,-0.4700393291712643,9.440653276551314,138.07430922434185,4.0,4.0,-1.0,POINT (138.0743092243418 9.440653276551314),63.40845370118223,837645.0955081161,1045057.0589061485,0
138,198,-0.4509522971855013,9.44065327697842,138.07430922223577,4.0,4.0,-1.0,POINT (138.0743092222358 9.44065327697842),63.40845370700299,837645.0952761807,1045057.0589513946,0
139,199,-0.4573889134003236,9.440653276834407,138.07430922294589,4.0,4.0,-1.0,POINT (138.0743092229459 9.440653276834409),63.4084537050403,837645.0953543844,1045057.0589361383,0
140,200,-0.4388700638920652,9.440653277248767,138.07430922090265,4.0,4.0,-1.0,POINT (138.0743092209026 9.440653277248767),63.408453710686445,837645.0951293701,1045057.0589800341,0
147,209,-0.4331958254972783,9.44067252038751,138.0743073150075,4.0,4.0,-1.0,POINT (138.0743073150075 9.44067252038751),63.40871587296351,837644.8668486769,1045059.1875746159,0
