,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface
0,0.076810935085013,9.418046641720746,138.0344851040681,4.0,4.0,-1.0,POINT (138.0344851040681 9.418046641720746),63.580516205052845
1,0.1350954901728941,9.418053094143577,138.03448442700576,4.0,4.0,-1.0,POINT (138.0344844270058 9.418053094143577),63.58047249747324
2,0.13468327939088012,9.41805309417058,138.0344844269932,4.0,4.0,-1.0,POINT (138.0344844269932 9.418053094170579),63.580472497298615
3,0.28016583129213063,9.418053084633279,138.03448443142514,4.0,3.0,-1.0,POINT (138.0344844314251 9.418053084633279),63.5804725617636
4,-6.049908763700496,9.41805995818097,138.03448355953753,1.0,1.0,-1.0,POINT (138.0344835595375 9.418059958180971),63.58042615704471
6,0.13269970469899814,9.418066007115263,138.03448306927166,4.0,4.0,-1.0,POINT (138.0344830692717 9.418066007115263),63.58038545228192
7,0.1696621994217113,9.418066004692202,138.03448307039767,4.0,4.0,-1.0,POINT (138.0344830703977 9.418066004692202),63.58038546858006
8,0.23493076257234113,9.418066000413408,138.034483072386,4.0,3.0,-1.0,POINT (138.034483072386 9.418066000413408),63.580385497334646
9,0.22482045770510364,9.418066001076204,138.034483072078,4.0,4.0,-1.0,POINT (138.034483072078 9.418066001076204),63.58038549288176
10,0.13563630103339383,9.418072463961277,138.03448239049803,4.0,4.0,-1.0,POINT (138.034482390498 9.418072463961277),63.58034213987412
11,0.14148690525298796,9.418085378401896,138.0344810329624,4.0,4.0,-1.0,POINT (138.0344810329624 9.418085378401896),63.580255935230525
12,0.2375097349202288,9.418085372106987,138.0344810358876,4.0,3.0,-1.0,POINT (138.0344810358876 9.418085372106987),63.58025597711094
17,0.15425834419542986,9.418098293821574,138.03447967563872,4.0,4.0,-1.0,POINT (138.0344796756387 9.418098293821574),63.580170291126706
18,0.08947162168677433,9.4180982980688,138.03447967366506,4.0,4.0,-1.0,POINT (138.0344796736651 9.4180982980688),63.58017026304151
20,0.16641625009015937,9.418104750771164,138.0344789972613,4.0,4.0,-1.0,POINT (138.0344789972613 9.418104750771164),63.58012768672779
21,0.19673082664299954,9.41811120722924,138.03447831941511,4.0,4.0,-1.0,POINT (138.0344783194151 9.41811120722924),63.580085227265954
23,0.3472383337674227,9.418124114878559,138.03447696656838,4.0,3.0,-1.0,POINT (138.0344769665684 9.418124114878559),63.58000076786266
25,0.1845933286419226,9.41812412554103,138.0344769616136,4.0,4.0,-1.0,POINT (138.0344769616136 9.418124125541031),63.580000698333606
26,0.023510825191438406,9.41812413610146,138.03447695670616,4.0,4.0,-1.0,POINT (138.0344769567062 9.41812413610146),63.58000062947394
28,0.13591352653004082,9.418130587308386,138.03447628152938,4.0,4.0,-1.0,POINT (138.0344762815294 9.418130587308386),63.5799586296489
30,0.1092367670504572,9.41813704830483,138.03447560211464,4.0,4.0,-1.0,POINT (138.0344756021146 9.41813704830483),63.57991670788033
32,0.1323510680003976,9.41814350622057,138.03447492427173,4.0,4.0,-1.0,POINT (138.0344749242717 9.41814350622057),63.579874947929056
35,-0.06103487831962699,9.418156435877874,138.0344735617242,4.0,4.0,-1.0,POINT (138.0344735617242 9.418156435877874),63.57979176469962
37,-0.02699451476709188,9.418162893586814,138.03447288440998,4.0,4.0,-1.0,POINT (138.03447288441 9.418162893586814),63.57975043167244
38,-0.09714610006926803,9.41816935828282,138.034472203997,4.0,4.0,-1.0,POINT (138.034472203997 9.418169358282819),63.57970919596846
39,0.2790853668803161,9.418169333617127,138.03447221545915,4.0,3.0,-1.0,POINT (138.0344722154591 9.418169333617127),63.57970935301273
40,-3.974549000566948,9.418176074270786,138.0344714075262,1.0,1.0,-1.0,POINT (138.0344714075262 9.418176074270786),63.579666507808724
41,0.26527210948879587,9.418182255157618,138.03447085873387,4.0,3.0,-1.0,POINT (138.0344708587339 9.418182255157618),63.579627356346464
42,0.18058228967312784,9.418182260709926,138.03447085615372,4.0,4.0,-1.0,POINT (138.0344708561537 9.418182260709926),63.579627321247244
43,-6.263312018059865,9.418189145269313,138.03446998166953,1.0,1.0,-1.0,POINT (138.0344699816695 9.418189145269313),63.57958386556129
45,0.3621760290061461,9.418195169982488,138.03446950574482,4.0,3.0,-1.0,POINT (138.0344695057448 9.418195169982488),63.57954596946365
46,0.22116930302757434,9.418195179226784,138.034469501449,4.0,4.0,-1.0,POINT (138.034469501449 9.418195179226784),63.579545911430614
47,-10.294372385074464,9.418195872223556,138.0344691807372,0.0,1.0,-1.0,POINT (138.0344691807372 9.418195872223556),63.57954156032065
49,0.04872486808811,9.41820165130763,138.0344688183735,4.0,4.0,-1.0,POINT (138.0344688183735 9.41820165130763),63.579505339002935
50,0.11172348815252864,9.418201647177515,138.03446882029277,4.0,4.0,-1.0,POINT (138.0344688202928 9.418201647177515),63.57950536484714
52,0.11005397935365552,9.418208108177554,138.03446814252598,4.0,4.0,-1.0,POINT (138.034468142526 9.418208108177554),63.579465003858786
53,0.2180185107201066,9.418214562098342,138.0344674682101,4.0,4.0,-1.0,POINT (138.0344674682101 9.418214562098342),63.5794248287566
54,2.2130964352888505,9.418214430786154,138.03446752904185,2.0,1.0,-1.0,POINT (138.0344675290418 9.418214430786154),63.5794256447698
55,0.1413027410314639,9.418214567127812,138.03446746587292,4.0,4.0,-1.0,POINT (138.0344674658729 9.418214567127812),63.57942479749909
56,0.14792459026105348,9.418221027794148,138.0344667885854,4.0,4.0,-1.0,POINT (138.0344667885854 9.418221027794148),63.57938472236856
57,0.1907945121642408,9.418221024983582,138.0344667898915,4.0,4.0,-1.0,POINT (138.0344667898915 9.418221024983582),63.579384739743546
58,0.28495403976832145,9.418221018810431,138.03446679276016,4.0,3.0,-1.0,POINT (138.0344667927602 9.418221018810431),63.57938477798598
