Filename, min_x, max_x, min_y, max_y, min_z, max_z
./20131115_ncmp_hi_molokai_4QGJ1927.laz, -156.8893255, -156.8829552, 21.0383692, 21.0397578, -18.49, 0.32
./20131115_ncmp_hi_molokai_4QGJ1528.laz, -156.9266551, -156.9213034, 21.0478799, 21.0492484, -5.46, -0.38
./20131113_ncmp_hi_molokai_4QGJ0842.laz, -156.9965667, -156.9872873, 21.1732180, 21.1765221, 295.38, 484.83
./20131113_ncmp_hi_molokai_4QGJ0742.laz, -157.0027825, -156.9965556, 21.1756118, 21.1766018, 296.78, 441.74
./20131108_ncmp_hi_molokai_4QGJ3635.laz, -156.7279963, -156.7259884, 21.1080298, 21.1099194, -49.08, -34.70
./20131108_ncmp_hi_molokai_4QGJ3534.laz, -156.7377603, -156.7359413, 21.0994226, 21.1010185, -35.99, -25.70
./20131108_ncmp_hi_molokai_4QGJ3433.laz, -156.7475005, -156.7469141, 21.0916099, 21.0921192, -24.30, -22.05
./20131108_ncmp_hi_molokai_4QGJ3333.laz, -156.7572363, -156.7474949, 21.0840466, 21.0922455, -23.38, -0.79
./20131108_ncmp_hi_molokai_4QGJ3231.laz, -156.7670266, -156.7654299, 21.0727955, 21.0743145, -24.57, -19.01
./20131108_ncmp_hi_molokai_4QGJ3030.laz, -156.7864092, -156.7813529, 21.0633289, 21.0655396, -15.38, -6.94
./20131108_ncmp_hi_molokai_4QGJ2829.laz, -156.8057927, -156.7977564, 21.0536811, 21.0567598, -14.83, -6.41
./20131108_ncmp_hi_molokai_4QGJ2729.laz, -156.8154680, -156.8057485, 21.0498366, 21.0568842, -19.05, 0.14
./20131108_ncmp_hi_molokai_4QGJ2628.laz, -156.8251398, -156.8215597, 21.0462693, 21.0479786, -18.64, -8.58
./20131108_ncmp_hi_molokai_4QGJ2528.laz, -156.8348129, -156.8251171, 21.0426475, 21.0481009, -19.08, -0.57
./20131108_ncmp_hi_molokai_4QGJ2427.laz, -156.8444858, -156.8437889, 21.0389594, 21.0391940, -10.36, -8.34
./20131108_ncmp_hi_molokai_4QGJ2327.laz, -156.8541348, -156.8444830, 21.0368829, 21.0393149, -27.66, -0.32
